NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DBT	dihydrolipoamide branched chain transacylase E2 [Source:HGNC Symbol;Acc:HGNC:2698]	109	0.1793525367975235	0.02138435	Yes	
row_1	CCNG2	cyclin G2 [Source:HGNC Symbol;Acc:HGNC:1593]	209	0.13363754749298096	0.036467776	Yes	
row_2	DNAJB9	DnaJ heat shock protein family (Hsp40) member B9 [Source:HGNC Symbol;Acc:HGNC:6968]	217	0.13133786618709564	0.055609148	Yes	
row_3	IDH1	isocitrate dehydrogenase (NADP(+)) 1 [Source:HGNC Symbol;Acc:HGNC:5382]	255	0.1220887154340744	0.07194452	Yes	
row_4	PPM1B	protein phosphatase, Mg2+/Mn2+ dependent 1B [Source:HGNC Symbol;Acc:HGNC:9276]	333	0.10531185567378998	0.08387946	Yes	
row_5	NDUFA5	NADH:ubiquinone oxidoreductase subunit A5 [Source:HGNC Symbol;Acc:HGNC:7688]	371	0.09956452250480652	0.09687472	Yes	
row_6	SLC25A10	solute carrier family 25 member 10 [Source:HGNC Symbol;Acc:HGNC:10980]	383	0.0982029139995575	0.11091126	Yes	
row_7	AGPAT3	1-acylglycerol-3-phosphate O-acyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:326]	428	0.09236451238393784	0.12250413	Yes	
row_8	CRAT	carnitine O-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:2342]	488	0.08639148622751236	0.13249403	Yes	
row_9	PHYH	phytanoyl-CoA 2-hydroxylase [Source:HGNC Symbol;Acc:HGNC:8940]	530	0.08233558386564255	0.14274317	Yes	
row_10	REEP5	receptor accessory protein 5 [Source:HGNC Symbol;Acc:HGNC:30077]	536	0.08197728544473648	0.1546605	Yes	
row_11	CMPK1	cytidine/uridine monophosphate kinase 1 [Source:HGNC Symbol;Acc:HGNC:18170]	714	0.07025748491287231	0.15661573	Yes	
row_12	COQ9	coenzyme Q9 [Source:HGNC Symbol;Acc:HGNC:25302]	750	0.06882477551698685	0.16514823	Yes	
row_13	GPX4	glutathione peroxidase 4 [Source:HGNC Symbol;Acc:HGNC:4556]	825	0.06559780240058899	0.17133743	Yes	
row_14	CS	citrate synthase [Source:HGNC Symbol;Acc:HGNC:2422]	837	0.06523261964321136	0.1804848	Yes	
row_15	MGST3	microsomal glutathione S-transferase 3 [Source:HGNC Symbol;Acc:HGNC:7064]	923	0.06227035075426102	0.1856546	Yes	
row_16	ALDOA	aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]	1109	0.05640808120369911	0.1851736	Yes	
row_17	ACO2	aconitase 2 [Source:HGNC Symbol;Acc:HGNC:118]	1121	0.056162770837545395	0.19297601	Yes	
row_18	IMMT	inner membrane mitochondrial protein [Source:HGNC Symbol;Acc:HGNC:6047]	1145	0.05535375326871872	0.20008467	Yes	
