NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PTPN6	protein tyrosine phosphatase non-receptor type 6 [Source:HGNC Symbol;Acc:HGNC:9658]	128	0.17039968073368073	0.039754048	No	
row_1	STAT1	signal transducer and activator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:11362]	705	0.07063500583171844	0.031240726	No	
row_2	EIF4G3	eukaryotic translation initiation factor 4 gamma 3 [Source:HGNC Symbol;Acc:HGNC:3298]	1437	0.04908549413084984	0.009518536	No	
row_3	MAP3K7	mitogen-activated protein kinase kinase kinase 7 [Source:HGNC Symbol;Acc:HGNC:6859]	2170	0.03699337691068649	-0.015506633	No	
row_4	DARS1	aspartyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:2678]	2263	0.03580642491579056	-0.010264443	No	
row_5	NCK1	NCK adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:7664]	2302	0.035359982401132584	-0.002561666	No	
row_6	RARS1	arginyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:9870]	2510	0.03285559266805649	-0.0036099185	No	
row_7	IKBKB	inhibitor of nuclear factor kappa B kinase subunit beta [Source:HGNC Symbol;Acc:HGNC:5960]	2638	0.03145463392138481	-0.0012119466	No	
row_8	IRF7	interferon regulatory factor 7 [Source:HGNC Symbol;Acc:HGNC:6122]	2778	0.03017979860305786	2.693364E-4	No	
row_9	INHBB	inhibin subunit beta B [Source:HGNC Symbol;Acc:HGNC:6067]	2922	0.028917929157614708	0.0012197575	No	
row_10	EIF3A	eukaryotic translation initiation factor 3 subunit A [Source:HGNC Symbol;Acc:HGNC:3271]	3091	0.0274969432502985	5.9285015E-4	No	
row_11	ACHE	acetylcholinesterase (Cartwright blood group) [Source:HGNC Symbol;Acc:HGNC:108]	3176	0.026790037751197815	0.0037901734	No	
row_12	MRPL3	mitochondrial ribosomal protein L3 [Source:HGNC Symbol;Acc:HGNC:10379]	3363	0.02524006925523281	0.0016954617	No	
row_13	ELF4	E74 like ETS transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:3319]	3534	0.02368643507361412	-5.2814397E-5	No	
row_14	UBE2D1	ubiquitin conjugating enzyme E2 D1 [Source:HGNC Symbol;Acc:HGNC:12474]	3563	0.023526329547166824	0.004942274	No	
row_15	RPL9	ribosomal protein L9 [Source:HGNC Symbol;Acc:HGNC:10369]	3630	0.022927286103367805	0.007960005	No	
row_16	TAP2	transporter 2, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:44]	3841	0.02126065082848072	0.0036470296	No	
row_17	B2M	beta-2-microglobulin [Source:HGNC Symbol;Acc:HGNC:914]	4254	0.01829526014626026	-0.011118212	No	
row_18	GLMN	glomulin, FKBP associated protein [Source:HGNC Symbol;Acc:HGNC:14373]	4261	0.018253454938530922	-0.0064911516	No	
row_19	CSF1	colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]	4536	0.016548456624150276	-0.015131333	No	
row_20	RPS9	ribosomal protein S9 [Source:HGNC Symbol;Acc:HGNC:10442]	4592	0.016135020181536674	-0.013416362	No	
row_21	DYRK3	dual specificity tyrosine phosphorylation regulated kinase 3 [Source:HGNC Symbol;Acc:HGNC:3094]	4791	0.014888398349285126	-0.018871237	No	
row_22	BCL3	BCL3 transcription coactivator [Source:HGNC Symbol;Acc:HGNC:998]	4841	0.014536676928400993	-0.017299786	No	
row_23	IRF8	interferon regulatory factor 8 [Source:HGNC Symbol;Acc:HGNC:5358]	4856	0.014467630535364151	-0.014074203	No	
row_24	TAP1	transporter 1, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:43]	4901	0.014171483926475048	-0.012362102	No	
row_25	RPS3A	ribosomal protein S3A [Source:HGNC Symbol;Acc:HGNC:10421]	4917	0.014111259020864964	-0.009280245	No	
row_26	TLR2	toll like receptor 2 [Source:HGNC Symbol;Acc:HGNC:11848]	5102	0.013004609383642673	-0.014573147	No	
row_27	HLA-E	major histocompatibility complex, class I, E [Source:HGNC Symbol;Acc:HGNC:4962]	5180	0.012519888579845428	-0.014882789	No	
