NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SCD	stearoyl-CoA desaturase [Source:HGNC Symbol;Acc:HGNC:10571]	9	0.4810463786125183	0.15143503	Yes	
row_1	VAPA	VAMP associated protein A [Source:HGNC Symbol;Acc:HGNC:12648]	152	0.1545540690422058	0.19346844	Yes	
row_2	ELK4	ETS transcription factor ELK4 [Source:HGNC Symbol;Acc:HGNC:3326]	198	0.1373915821313858	0.23470038	Yes	
row_3	DNAJB9	DnaJ heat shock protein family (Hsp40) member B9 [Source:HGNC Symbol;Acc:HGNC:6968]	217	0.13133786618709564	0.27530625	Yes	
row_4	PIAS1	protein inhibitor of activated STAT 1 [Source:HGNC Symbol;Acc:HGNC:2752]	433	0.09168639034032822	0.29401833	Yes	
row_5	ZMIZ1	zinc finger MIZ-type containing 1 [Source:HGNC Symbol;Acc:HGNC:16493]	733	0.06922796368598938	0.30164254	Yes	
row_6	TMEM50A	transmembrane protein 50A [Source:HGNC Symbol;Acc:HGNC:30590]	877	0.06412453204393387	0.3150803	Yes	
row_7	CAMKK2	calcium/calmodulin dependent protein kinase kinase 2 [Source:HGNC Symbol;Acc:HGNC:1470]	1512	0.04740110784769058	0.29986987	Yes	
row_8	ELL2	elongation factor for RNA polymerase II 2 [Source:HGNC Symbol;Acc:HGNC:17064]	1814	0.041654329746961594	0.29869404	Yes	
row_9	CDK6	cyclin dependent kinase 6 [Source:HGNC Symbol;Acc:HGNC:1777]	1845	0.04121068865060806	0.31027618	Yes	
row_10	NDRG1	N-myc downstream regulated 1 [Source:HGNC Symbol;Acc:HGNC:7679]	1916	0.040165018290281296	0.31962445	Yes	
row_11	APPBP2	amyloid beta precursor protein binding protein 2 [Source:HGNC Symbol;Acc:HGNC:622]	2062	0.03815849497914314	0.3247697	Yes	
row_12	B4GALT1	beta-1,4-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:924]	2244	0.036008551716804504	0.32752284	Yes	
