NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CRAT	carnitine O-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:2342]	488	0.08639148622751236	-0.009732087	No	
row_1	WASL	WASP like actin nucleation promoting factor [Source:HGNC Symbol;Acc:HGNC:12735]	506	0.08445029705762863	0.0027541576	No	
row_2	PIK3CB	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:8976]	679	0.07174881547689438	0.005827809	No	
row_3	MAPK13	mitogen-activated protein kinase 13 [Source:HGNC Symbol;Acc:HGNC:6875]	719	0.07008327543735504	0.01499946	No	
row_4	CRB3	crumbs cell polarity complex component 3 [Source:HGNC Symbol;Acc:HGNC:20237]	790	0.06694858521223068	0.022194989	No	
row_5	SHC1	SHC adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:10840]	808	0.06625951081514359	0.031816553	No	
row_6	NLGN2	neuroligin 2 [Source:HGNC Symbol;Acc:HGNC:14290]	835	0.06524738669395447	0.040848333	No	
row_7	SPEG	striated muscle enriched protein kinase [Source:HGNC Symbol;Acc:HGNC:16901]	1074	0.05752138793468475	0.038525216	No	
row_8	GAMT	guanidinoacetate N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:4136]	1211	0.05387891083955765	0.040506303	No	
row_9	TSC1	TSC complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:12362]	1412	0.04941928759217262	0.038724497	No	
row_10	LDLRAP1	low density lipoprotein receptor adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:18640]	1566	0.04641594737768173	0.038717348	No	
row_11	RASA1	RAS p21 protein activator 1 [Source:HGNC Symbol;Acc:HGNC:9871]	1658	0.04472276195883751	0.0414085	No	
row_12	SYK	spleen associated tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:11491]	1718	0.04351485148072243	0.045439728	No	
