NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MDGA1	MAM domain containing glycosylphosphatidylinositol anchor 1 [Source:HGNC Symbol;Acc:HGNC:19267]	324	0.10672742128372192	0.045840736	No	
row_1	B4GALT1	beta-1,4-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:924]	2244	0.036008551716804504	-0.024606856	No	
row_2	GATA3	GATA binding protein 3 [Source:HGNC Symbol;Acc:HGNC:4172]	2449	0.033634383231401443	-0.014997815	No	
row_3	FLOT2	flotillin 2 [Source:HGNC Symbol;Acc:HGNC:3758]	3572	0.02343102917075157	-0.054823227	No	
row_4	NCOA6	nuclear receptor coactivator 6 [Source:HGNC Symbol;Acc:HGNC:15936]	3611	0.02306155487895012	-0.04339837	No	
row_5	SHROOM2	shroom family member 2 [Source:HGNC Symbol;Acc:HGNC:630]	4566	0.01629396341741085	-0.07934215	No	
row_6	HSPB1	heat shock protein family B (small) member 1 [Source:HGNC Symbol;Acc:HGNC:5246]	5499	0.010671396739780903	-0.117466785	No	
row_7	SLC34A3	solute carrier family 34 member 3 [Source:HGNC Symbol;Acc:HGNC:20305]	6026	0.007852348499000072	-0.13793392	No	
row_8	TMEM8B	transmembrane protein 8B [Source:HGNC Symbol;Acc:HGNC:21427]	6544	0.005470631178468466	-0.15934004	No	
row_9	LYPD3	LY6/PLAUR domain containing 3 [Source:HGNC Symbol;Acc:HGNC:24880]	6822	0.004396076779812574	-0.16996871	No	
row_10	CROCC	ciliary rootlet coiled-coil, rootletin [Source:HGNC Symbol;Acc:HGNC:21299]	6883	0.004177101422101259	-0.17042103	No	
row_11	RHCG	Rh family C glycoprotein [Source:HGNC Symbol;Acc:HGNC:18140]	8902	1.1503781570354477E-4	-0.2661583	No	
row_12	GHRL	ghrelin and obestatin prepropeptide [Source:HGNC Symbol;Acc:HGNC:18129]	9926	-3.7165696267038584E-4	-0.3145114	No	
row_13	PKHD1	PKHD1 ciliary IPT domain containing fibrocystin/polyductin [Source:HGNC Symbol;Acc:HGNC:9016]	10569	-7.426507072523236E-4	-0.34456393	No	
row_14	RTN4RL1	reticulon 4 receptor like 1 [Source:HGNC Symbol;Acc:HGNC:21329]	11081	-0.0011413022875785828	-0.36816865	No	
row_15	ATP6V0A4	ATPase H+ transporting V0 subunit a4 [Source:HGNC Symbol;Acc:HGNC:866]	11379	-0.0014245030470192432	-0.3814514	No	
row_16	CD160	CD160 molecule [Source:HGNC Symbol;Acc:HGNC:17013]	11778	-0.001817840849980712	-0.3993034	No	
row_17	EFNA5	ephrin A5 [Source:HGNC Symbol;Acc:HGNC:3225]	11983	-0.002019688952714205	-0.4078296	No	
row_18	GAS1	growth arrest specific 1 [Source:HGNC Symbol;Acc:HGNC:4165]	13473	-0.004154605325311422	-0.47613573	No	
row_19	CX3CL1	C-X3-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:10647]	14068	-0.005244213156402111	-0.5013272	No	
