NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDKN1B	cyclin dependent kinase inhibitor 1B [Source:HGNC Symbol;Acc:HGNC:1785]	60	0.2274937480688095	0.04410257	No	
row_1	XIAP	X-linked inhibitor of apoptosis [Source:HGNC Symbol;Acc:HGNC:592]	192	0.14021922647953033	0.06679769	No	
row_2	ERBB3	erb-b2 receptor tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:3431]	219	0.1304328292608261	0.09248479	No	
row_3	SATB1	SATB homeobox 1 [Source:HGNC Symbol;Acc:HGNC:10541]	360	0.10099823027849197	0.106652975	No	
row_4	DAP3	death associated protein 3 [Source:HGNC Symbol;Acc:HGNC:2673]	367	0.1001163050532341	0.12703589	No	
row_5	BCL2L2	BCL2 like 2 [Source:HGNC Symbol;Acc:HGNC:995]	409	0.09419085085391998	0.14452465	No	
row_6	CASP7	caspase 7 [Source:HGNC Symbol;Acc:HGNC:1508]	480	0.08733496069908142	0.15921362	No	
row_7	GPX4	glutathione peroxidase 4 [Source:HGNC Symbol;Acc:HGNC:4556]	825	0.06559780240058899	0.15633488	No	
row_8	CASP2	caspase 2 [Source:HGNC Symbol;Acc:HGNC:1503]	1048	0.05841179937124252	0.15779652	No	
row_9	CASP6	caspase 6 [Source:HGNC Symbol;Acc:HGNC:1507]	1165	0.05481542646884918	0.16357581	No	
row_10	VDAC2	voltage dependent anion channel 2 [Source:HGNC Symbol;Acc:HGNC:12672]	1200	0.054109472781419754	0.1731238	No	
row_11	MCL1	MCL1 apoptosis regulator, BCL2 family member [Source:HGNC Symbol;Acc:HGNC:6943]	1244	0.053097523748874664	0.18203326	No	
row_12	PSEN1	presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]	1263	0.05258965492248535	0.1920313	No	
row_13	BNIP3L	BCL2 interacting protein 3 like [Source:HGNC Symbol;Acc:HGNC:1085]	1637	0.045139096677303314	0.1835444	No	
row_14	ENO2	enolase 2 [Source:HGNC Symbol;Acc:HGNC:3353]	1724	0.043433260172605515	0.18840593	No	
row_15	CTNNB1	catenin beta 1 [Source:HGNC Symbol;Acc:HGNC:2514]	1733	0.043233588337898254	0.19694975	No	
row_16	ERBB2	erb-b2 receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:3430]	1866	0.04094311594963074	0.19910127	No	
