NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CTSB	cathepsin B [Source:HGNC Symbol;Acc:HGNC:2527]	455	0.08922827988862991	7.50374E-4	No	
row_1	HPN	hepsin [Source:HGNC Symbol;Acc:HGNC:5155]	523	0.08313523977994919	0.018451836	No	
row_2	LAMP2	lysosomal associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6501]	680	0.07170530408620834	0.029041292	No	
row_3	ISCU	iron-sulfur cluster assembly enzyme [Source:HGNC Symbol;Acc:HGNC:29882]	1052	0.058286018669605255	0.026016794	No	
row_4	CD9	CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709]	1773	0.04251411557197571	0.0024040146	No	
row_5	SIRT2	sirtuin 2 [Source:HGNC Symbol;Acc:HGNC:10886]	2615	0.03181519731879234	-0.029661372	No	
row_6	CPQ	carboxypeptidase Q [Source:HGNC Symbol;Acc:HGNC:16910]	2925	0.028909936547279358	-0.037115112	No	
row_7	S100A13	S100 calcium binding protein A13 [Source:HGNC Symbol;Acc:HGNC:10490]	2930	0.02887647971510887	-0.030048603	No	
row_8	MST1	macrophage stimulating 1 [Source:HGNC Symbol;Acc:HGNC:7380]	3214	0.02643059566617012	-0.036886923	No	
row_9	GNB2	G protein subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:4398]	3218	0.026396887376904488	-0.030395936	No	
row_10	PDGFB	platelet derived growth factor subunit B [Source:HGNC Symbol;Acc:HGNC:8800]	4132	0.019130203872919083	-0.069078945	No	
row_11	MSRB2	methionine sulfoxide reductase B2 [Source:HGNC Symbol;Acc:HGNC:17061]	4394	0.017368700355291367	-0.07714668	No	
row_12	PEF1	penta-EF-hand domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30009]	4505	0.016704579815268517	-0.078188434	No	
row_13	F12	coagulation factor XII [Source:HGNC Symbol;Acc:HGNC:3530]	4944	0.014001631177961826	-0.095533736	No	
row_14	MMP15	matrix metallopeptidase 15 [Source:HGNC Symbol;Acc:HGNC:7161]	5090	0.013079127296805382	-0.09915384	No	
row_15	CTSH	cathepsin H [Source:HGNC Symbol;Acc:HGNC:2535]	5275	0.012004590593278408	-0.104901746	No	
row_16	PLAT	plasminogen activator, tissue type [Source:HGNC Symbol;Acc:HGNC:9051]	5680	0.009609551168978214	-0.12173125	No	
row_17	ADAM9	ADAM metallopeptidase domain 9 [Source:HGNC Symbol;Acc:HGNC:216]	5889	0.008548353798687458	-0.129491	No	
row_18	SERPINB2	serpin family B member 2 [Source:HGNC Symbol;Acc:HGNC:8584]	6258	0.006655882578343153	-0.14534794	No	
row_19	LTA4H	leukotriene A4 hydrolase [Source:HGNC Symbol;Acc:HGNC:6710]	6277	0.006553891580551863	-0.14455828	No	
row_20	MMP11	matrix metallopeptidase 11 [Source:HGNC Symbol;Acc:HGNC:7157]	6395	0.006063329521566629	-0.14860778	No	
row_21	OLR1	oxidized low density lipoprotein receptor 1 [Source:HGNC Symbol;Acc:HGNC:8133]	6895	0.004127101507037878	-0.1713404	No	
row_22	ITGA2	integrin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6137]	6957	0.003876738017424941	-0.17327186	No	
row_23	PROS1	protein S [Source:HGNC Symbol;Acc:HGNC:9456]	7325	0.0026657392736524343	-0.19008395	No	
row_24	S100A1	S100 calcium binding protein A1 [Source:HGNC Symbol;Acc:HGNC:10486]	7492	0.002178691327571869	-0.19744381	No	
row_25	MEP1A	meprin A subunit alpha [Source:HGNC Symbol;Acc:HGNC:7015]	7570	0.0019688052125275135	-0.20061691	No	
row_26	FYN	FYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4037]	7658	0.00176313950214535	-0.20431805	No	
row_27	RAPGEF3	Rap guanine nucleotide exchange factor 3 [Source:HGNC Symbol;Acc:HGNC:16629]	7772	0.0015039767604321241	-0.20932283	No	
row_28	TIMP3	TIMP metallopeptidase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:11822]	7862	0.001339770620688796	-0.21322563	No	
row_29	ANG	angiogenin [Source:HGNC Symbol;Acc:HGNC:483]	7898	0.001286155078560114	-0.21456963	No	
row_30	DCT	dopachrome tautomerase [Source:HGNC Symbol;Acc:HGNC:2709]	8016	0.0010904122609645128	-0.21986888	No	
row_31	C8G	complement C8 gamma chain [Source:HGNC Symbol;Acc:HGNC:1354]	8062	0.001019701361656189	-0.22175619	No	
row_32	C1QA	complement C1q A chain [Source:HGNC Symbol;Acc:HGNC:1241]	8106	9.51774709392339E-4	-0.2235653	No	
row_33	CTSV	cathepsin V [Source:HGNC Symbol;Acc:HGNC:2538]	8198	8.111248607747257E-4	-0.22769623	No	
row_34	MASP2	MBL associated serine protease 2 [Source:HGNC Symbol;Acc:HGNC:6902]	8792	1.930682046804577E-4	-0.25589523	No	
row_35	CFD	complement factor D [Source:HGNC Symbol;Acc:HGNC:2771]	8854	1.493795425631106E-4	-0.2587634	No	
row_36	MMP7	matrix metallopeptidase 7 [Source:HGNC Symbol;Acc:HGNC:7174]	8937	8.66158225107938E-5	-0.2626477	No	
row_37	C9	complement C9 [Source:HGNC Symbol;Acc:HGNC:1358]	9611	-2.4246436078101397E-4	-0.29464507	No	
row_38	LEFTY2	left-right determination factor 2 [Source:HGNC Symbol;Acc:HGNC:3122]	9963	-3.870840009767562E-4	-0.31126764	No	
