NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RBSN	rabenosyn, RAB effector [Source:HGNC Symbol;Acc:HGNC:20759]	88	0.1925196349620819	0.027002243	No	
row_1	PRDM4	PR/SET domain 4 [Source:HGNC Symbol;Acc:HGNC:9348]	357	0.10137811303138733	0.030624097	No	
row_2	CTSB	cathepsin B [Source:HGNC Symbol;Acc:HGNC:2527]	455	0.08922827988862991	0.04045151	No	
row_3	CASP7	caspase 7 [Source:HGNC Symbol;Acc:HGNC:1508]	480	0.08733496069908142	0.053461988	No	
row_4	LAMP2	lysosomal associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6501]	680	0.07170530408620834	0.05557234	No	
row_5	CTSD	cathepsin D [Source:HGNC Symbol;Acc:HGNC:2529]	902	0.06301812082529068	0.055222634	No	
row_6	LAP3	leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]	903	0.06301723420619965	0.06543835	No	
row_7	RNF4	ring finger protein 4 [Source:HGNC Symbol;Acc:HGNC:10067]	974	0.06046811863780022	0.07189427	No	
row_8	PLSCR1	phospholipid scramblase 1 [Source:HGNC Symbol;Acc:HGNC:9092]	1044	0.05844980850815773	0.07807082	No	
row_9	CD55	CD55 molecule (Cromer blood group) [Source:HGNC Symbol;Acc:HGNC:2665]	1160	0.05491715297102928	0.08147552	No	
row_10	PSEN1	presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]	1263	0.05258965492248535	0.0851244	No	
row_11	HSPA5	heat shock protein family A (Hsp70) member 5 [Source:HGNC Symbol;Acc:HGNC:5238]	1474	0.04836210981011391	0.0829247	No	
row_12	USP16	ubiquitin specific peptidase 16 [Source:HGNC Symbol;Acc:HGNC:12614]	1555	0.04664643108844757	0.08666191	No	
row_13	ERAP2	endoplasmic reticulum aminopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:29499]	2091	0.03776867687702179	0.06720731	No	
row_14	BRPF3	bromodomain and PHD finger containing 3 [Source:HGNC Symbol;Acc:HGNC:14256]	2102	0.03770049661397934	0.072840855	No	
row_15	CASP10	caspase 10 [Source:HGNC Symbol;Acc:HGNC:1500]	2227	0.036203060299158096	0.07278154	No	
row_16	GATA3	GATA binding protein 3 [Source:HGNC Symbol;Acc:HGNC:4172]	2449	0.033634383231401443	0.06766844	No	
row_17	USP8	ubiquitin specific peptidase 8 [Source:HGNC Symbol;Acc:HGNC:12631]	2640	0.031417448073625565	0.063678	No	
row_18	VCPIP1	valosin containing protein interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:30897]	2751	0.03045991249382496	0.06335697	No	
row_19	IRF7	interferon regulatory factor 7 [Source:HGNC Symbol;Acc:HGNC:6122]	2778	0.03017979860305786	0.06700641	No	
row_20	IRF2	interferon regulatory factor 2 [Source:HGNC Symbol;Acc:HGNC:6117]	2911	0.028978463262319565	0.06539345	No	
row_21	CPQ	carboxypeptidase Q [Source:HGNC Symbol;Acc:HGNC:16910]	2925	0.028909936547279358	0.06945854	No	
row_22	S100A13	S100 calcium binding protein A13 [Source:HGNC Symbol;Acc:HGNC:10490]	2930	0.02887647971510887	0.073948465	No	
row_23	STX4	syntaxin 4 [Source:HGNC Symbol;Acc:HGNC:11439]	3054	0.02778623439371586	0.07257251	No	
row_24	GNB2	G protein subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:4398]	3218	0.026396887376904488	0.069059	No	
row_25	GNAI3	G protein subunit alpha i3 [Source:HGNC Symbol;Acc:HGNC:4387]	3725	0.022173775359988213	0.04846274	No	
row_26	FCER1G	Fc epsilon receptor Ig [Source:HGNC Symbol;Acc:HGNC:3611]	3804	0.021489394828677177	0.04821736	No	
row_27	KIF2A	kinesin family member 2A [Source:HGNC Symbol;Acc:HGNC:6318]	3915	0.0206870399415493	0.046312056	No	
row_28	PRKCD	protein kinase C delta [Source:HGNC Symbol;Acc:HGNC:9399]	4109	0.019276471808552742	0.04021002	No	
row_29	PDGFB	platelet derived growth factor subunit B [Source:HGNC Symbol;Acc:HGNC:8800]	4132	0.019130203872919083	0.04225944	No	
row_30	PPP4C	protein phosphatase 4 catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9319]	4135	0.019099688157439232	0.04526007	No	
row_31	CASP3	caspase 3 [Source:HGNC Symbol;Acc:HGNC:1504]	4288	0.018076946958899498	0.040923707	No	
row_32	XPNPEP1	X-prolyl aminopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:12822]	4294	0.0180192980915308	0.043605775	No	
row_33	AKAP10	A-kinase anchoring protein 10 [Source:HGNC Symbol;Acc:HGNC:368]	4431	0.017183680087327957	0.039889533	No	
row_34	LGALS3	galectin 3 [Source:HGNC Symbol;Acc:HGNC:6563]	4616	0.015983201563358307	0.033683896	No	
row_35	PSMB9	proteasome 20S subunit beta 9 [Source:HGNC Symbol;Acc:HGNC:9546]	4621	0.015918150544166565	0.036073156	No	
row_36	PRCP	prolylcarboxypeptidase [Source:HGNC Symbol;Acc:HGNC:9344]	4861	0.014421728439629078	0.026984947	No	
row_37	MMP15	matrix metallopeptidase 15 [Source:HGNC Symbol;Acc:HGNC:7161]	5090	0.013079127296805382	0.01820498	No	
row_38	CTSH	cathepsin H [Source:HGNC Symbol;Acc:HGNC:2535]	5275	0.012004590593278408	0.01135437	No	
row_39	APOBEC3F	apolipoprotein B mRNA editing enzyme catalytic subunit 3F [Source:HGNC Symbol;Acc:HGNC:17356]	5368	0.011452199891209602	0.0088125495	No	
row_40	APOBEC3G	apolipoprotein B mRNA editing enzyme catalytic subunit 3G [Source:HGNC Symbol;Acc:HGNC:17357]	5628	0.00989310722798109	-0.0019659526	No	
row_41	PLAT	plasminogen activator, tissue type [Source:HGNC Symbol;Acc:HGNC:9051]	5680	0.009609551168978214	-0.002846357	No	
row_42	WAS	WASP actin nucleation promoting factor [Source:HGNC Symbol;Acc:HGNC:12731]	5821	0.008943066000938416	-0.0080897175	No	
row_43	ADAM9	ADAM metallopeptidase domain 9 [Source:HGNC Symbol;Acc:HGNC:216]	5889	0.008548353798687458	-0.009907081	No	
row_44	PPP2CB	protein phosphatase 2 catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:9300]	6068	0.007640877738595009	-0.017178243	No	
row_45	DYRK2	dual specificity tyrosine phosphorylation regulated kinase 2 [Source:HGNC Symbol;Acc:HGNC:3093]	6116	0.0073490142822265625	-0.018233871	No	
row_46	JAK2	Janus kinase 2 [Source:HGNC Symbol;Acc:HGNC:6192]	6167	0.007060691714286804	-0.019479662	No	
row_47	SERPINB2	serpin family B member 2 [Source:HGNC Symbol;Acc:HGNC:8584]	6258	0.006655882578343153	-0.022703398	No	
row_48	LTA4H	leukotriene A4 hydrolase [Source:HGNC Symbol;Acc:HGNC:6710]	6277	0.006553891580551863	-0.022501491	No	
row_49	OLR1	oxidized low density lipoprotein receptor 1 [Source:HGNC Symbol;Acc:HGNC:8133]	6895	0.004127101507037878	-0.051329985	No	
row_50	GCA	grancalcin [Source:HGNC Symbol;Acc:HGNC:15990]	6928	0.003996638581156731	-0.052211948	No	
row_51	PLA2G7	phospholipase A2 group VII [Source:HGNC Symbol;Acc:HGNC:9040]	6967	0.0038314578123390675	-0.053407535	No	
row_52	CDK5R1	cyclin dependent kinase 5 regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:1775]	7207	0.0030383781995624304	-0.0643411	No	
row_53	S100A9	S100 calcium binding protein A9 [Source:HGNC Symbol;Acc:HGNC:10499]	7448	0.002327968366444111	-0.07543763	No	
row_54	C1QC	complement C1q C chain [Source:HGNC Symbol;Acc:HGNC:1245]	7514	0.0021125595085322857	-0.07820268	No	
row_55	FYN	FYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4037]	7658	0.00176313950214535	-0.0847534	No	
row_56	CR2	complement C3d receptor 2 [Source:HGNC Symbol;Acc:HGNC:2336]	7741	0.0015697124181315303	-0.08841919	No	
row_57	ANG	angiogenin [Source:HGNC Symbol;Acc:HGNC:483]	7898	0.001286155078560114	-0.09566875	No	
row_58	C1QA	complement C1q A chain [Source:HGNC Symbol;Acc:HGNC:1241]	8106	9.51774709392339E-4	-0.10541071	No	
row_59	CTSV	cathepsin V [Source:HGNC Symbol;Acc:HGNC:2538]	8198	8.111248607747257E-4	-0.10962974	No	
row_60	GRB2	growth factor receptor bound protein 2 [Source:HGNC Symbol;Acc:HGNC:4566]	8248	7.330804946832359E-4	-0.111853495	No	
row_61	SIRT6	sirtuin 6 [Source:HGNC Symbol;Acc:HGNC:14934]	8400	5.354593740776181E-4	-0.118985705	No	
row_62	CP	ceruloplasmin [Source:HGNC Symbol;Acc:HGNC:2295]	8512	4.2497299727983773E-4	-0.1242235	No	
row_63	KLK1	kallikrein 1 [Source:HGNC Symbol;Acc:HGNC:6357]	8627	3.179685736540705E-4	-0.12962207	No	
row_64	PIK3CG	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:8978]	8736	2.336894831387326E-4	-0.13474745	No	
row_65	PHEX	phosphate regulating endopeptidase X-linked [Source:HGNC Symbol;Acc:HGNC:8918]	8738	2.3166052415035665E-4	-0.1347577	No	
row_66	GZMK	granzyme K [Source:HGNC Symbol;Acc:HGNC:4711]	8925	9.624348604120314E-5	-0.1436344	No	
row_67	MT3	metallothionein 3 [Source:HGNC Symbol;Acc:HGNC:7408]	9392	-1.4301891496870667E-4	-0.16588974	No	
row_68	S100A12	S100 calcium binding protein A12 [Source:HGNC Symbol;Acc:HGNC:10489]	9562	-2.2343893942888826E-4	-0.17393306	No	
row_69	C9	complement C9 [Source:HGNC Symbol;Acc:HGNC:1358]	9611	-2.4246436078101397E-4	-0.17618854	No	
row_70	TIMP2	TIMP metallopeptidase inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11821]	9654	-2.590207732282579E-4	-0.17815448	No	
row_71	CDA	cytidine deaminase [Source:HGNC Symbol;Acc:HGNC:1712]	9787	-3.142011701129377E-4	-0.18441421	No	
row_72	CASP5	caspase 5 [Source:HGNC Symbol;Acc:HGNC:1506]	10001	-4.0952255949378014E-4	-0.19453093	No	
row_73	ITIH1	inter-alpha-trypsin inhibitor heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:6166]	10087	-4.5249174581840634E-4	-0.19852126	No	
