NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TTC39A	tetratricopeptide repeat domain 39A [Source:HGNC Symbol;Acc:HGNC:18657]	30	0.3208900988101959	0.054402538	No	
row_1	PEX11A	peroxisomal biogenesis factor 11 alpha [Source:HGNC Symbol;Acc:HGNC:8852]	414	0.0934964120388031	0.052355867	No	
row_2	GLA	galactosidase alpha [Source:HGNC Symbol;Acc:HGNC:4296]	542	0.08126280456781387	0.060422823	No	
row_3	BHLHE40	basic helix-loop-helix family member e40 [Source:HGNC Symbol;Acc:HGNC:1046]	565	0.07901923358440399	0.07312066	No	
row_4	NRIP1	nuclear receptor interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:8001]	616	0.0754019021987915	0.08385005	No	
row_5	WFS1	wolframin ER transmembrane glycoprotein [Source:HGNC Symbol;Acc:HGNC:12762]	670	0.07208549976348877	0.09385889	No	
row_6	SIAH2	siah E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:10858]	821	0.06581953912973404	0.098138705	No	
row_7	MED13L	mediator complex subunit 13L [Source:HGNC Symbol;Acc:HGNC:22962]	827	0.06557003408670425	0.109309256	No	
row_8	RHOBTB3	Rho related BTB domain containing 3 [Source:HGNC Symbol;Acc:HGNC:18757]	854	0.06486716866493225	0.11935325	No	
row_9	IL6ST	interleukin 6 cytokine family signal transducer [Source:HGNC Symbol;Acc:HGNC:6021]	1129	0.05599454790353775	0.11599355	No	
row_10	CHPT1	choline phosphotransferase 1 [Source:HGNC Symbol;Acc:HGNC:17852]	1143	0.0554468035697937	0.12502001	No	
row_11	SLC22A5	solute carrier family 22 member 5 [Source:HGNC Symbol;Acc:HGNC:10969]	1451	0.0487528070807457	0.11882208	No	
row_12	AKAP1	A-kinase anchoring protein 1 [Source:HGNC Symbol;Acc:HGNC:367]	1612	0.045634426176548004	0.11911133	No	
row_13	INPP5F	inositol polyphosphate-5-phosphatase F [Source:HGNC Symbol;Acc:HGNC:17054]	1932	0.03998237103223801	0.11081342	No	
row_14	HSPB8	heat shock protein family B (small) member 8 [Source:HGNC Symbol;Acc:HGNC:30171]	2157	0.03716794401407242	0.10656884	No	
row_15	DYNLT3	dynein light chain Tctex-type 3 [Source:HGNC Symbol;Acc:HGNC:11694]	2205	0.036497265100479126	0.11067201	No	
row_16	NHERF1	NHERF family PDZ scaffold protein 1 [Source:HGNC Symbol;Acc:HGNC:11075]	2229	0.0361819788813591	0.11586803	No	
row_17	SLC2A1	solute carrier family 2 member 1 [Source:HGNC Symbol;Acc:HGNC:11005]	2239	0.036033980548381805	0.12170781	No	
row_18	B4GALT1	beta-1,4-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:924]	2244	0.036008551716804504	0.12778227	No	
row_19	UNC119	unc-119 lipid binding chaperone [Source:HGNC Symbol;Acc:HGNC:12565]	2532	0.032685019075870514	0.11974487	No	
row_20	ISG20L2	interferon stimulated exonuclease gene 20 like 2 [Source:HGNC Symbol;Acc:HGNC:25745]	2894	0.02917456068098545	0.10755781	No	
row_21	INHBB	inhibin subunit beta B [Source:HGNC Symbol;Acc:HGNC:6067]	2922	0.028917929157614708	0.11129855	No	
row_22	MINDY1	MINDY lysine 48 deubiquitinase 1 [Source:HGNC Symbol;Acc:HGNC:25648]	2944	0.028760770335793495	0.115298875	No	
row_23	ASB13	ankyrin repeat and SOCS box containing 13 [Source:HGNC Symbol;Acc:HGNC:19765]	3083	0.027539504691958427	0.11349155	No	
row_24	AFF1	ALF transcription elongation factor 1 [Source:HGNC Symbol;Acc:HGNC:7135]	3174	0.026807835325598717	0.11385235	No	
row_25	ESRP2	epithelial splicing regulatory protein 2 [Source:HGNC Symbol;Acc:HGNC:26152]	3254	0.02606893703341484	0.11461062	No	
row_26	DHRS3	dehydrogenase/reductase 3 [Source:HGNC Symbol;Acc:HGNC:17693]	3319	0.02553364261984825	0.11599307	No	
