NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDKN1B	cyclin dependent kinase inhibitor 1B [Source:HGNC Symbol;Acc:HGNC:1785]	60	0.2274937480688095	0.042981066	Yes	
row_1	RBM14	RNA binding motif protein 14 [Source:HGNC Symbol;Acc:HGNC:14219]	182	0.143182173371315	0.0660518	Yes	
row_2	TMPO	thymopoietin [Source:HGNC Symbol;Acc:HGNC:11875]	375	0.09907209128141403	0.076836444	Yes	
row_3	HMGB3	high mobility group box 3 [Source:HGNC Symbol;Acc:HGNC:5004]	516	0.08362837880849838	0.08699553	Yes	
row_4	DKC1	dyskerin pseudouridine synthase 1 [Source:HGNC Symbol;Acc:HGNC:2890]	554	0.07959310710430145	0.10126765	Yes	
row_5	YTHDC1	YTH domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30626]	575	0.07839445769786835	0.116111286	Yes	
row_6	KATNA1	katanin catalytic subunit A1 [Source:HGNC Symbol;Acc:HGNC:6216]	587	0.07730723917484283	0.13116625	Yes	
row_7	XPO1	exportin 1 [Source:HGNC Symbol;Acc:HGNC:12825]	596	0.0767790675163269	0.14625823	Yes	
row_8	HMGN2	high mobility group nucleosomal binding domain 2 [Source:HGNC Symbol;Acc:HGNC:4986]	900	0.06310230493545532	0.14448428	Yes	
row_9	CCNT1	cyclin T1 [Source:HGNC Symbol;Acc:HGNC:1599]	990	0.060054875910282135	0.15233144	Yes	
row_10	RAD21	RAD21 cohesin complex component [Source:HGNC Symbol;Acc:HGNC:9811]	1033	0.05872528254985809	0.16215858	Yes	
row_11	SMC2	structural maintenance of chromosomes 2 [Source:HGNC Symbol;Acc:HGNC:14011]	1095	0.05684148147702217	0.17069729	Yes	
row_12	TOP1	DNA topoisomerase I [Source:HGNC Symbol;Acc:HGNC:11986]	1153	0.055120863020420074	0.17908053	Yes	
row_13	LIG3	DNA ligase 3 [Source:HGNC Symbol;Acc:HGNC:6600]	1169	0.054732754826545715	0.18939434	Yes	
row_14	CTCF	CCCTC-binding factor [Source:HGNC Symbol;Acc:HGNC:13723]	1285	0.0518401674926281	0.19434232	Yes	
row_15	POLE	DNA polymerase epsilon, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9177]	1492	0.04792177304625511	0.19414814	Yes	
row_16	UPF1	UPF1 RNA helicase and ATPase [Source:HGNC Symbol;Acc:HGNC:9962]	1550	0.04671083390712738	0.20083635	Yes	
row_17	NSD2	nuclear receptor binding SET domain protein 2 [Source:HGNC Symbol;Acc:HGNC:12766]	1567	0.04639134556055069	0.20942116	Yes	
row_18	H2AZ2	H2A.Z variant histone 2 [Source:HGNC Symbol;Acc:HGNC:20664]	1579	0.04608641192317009	0.21818364	Yes	
row_19	CUL4A	cullin 4A [Source:HGNC Symbol;Acc:HGNC:2554]	1641	0.045061443001031876	0.22434811	Yes	
row_20	PAFAH1B1	platelet activating factor acetylhydrolase 1b regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8574]	1644	0.045006658881902695	0.23332343	Yes	
