NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HK2	hexokinase 2 [Source:HGNC Symbol;Acc:HGNC:4923]	25	0.3253878355026245	0.05109374	Yes	
row_1	GMPPA	GDP-mannose pyrophosphorylase A [Source:HGNC Symbol;Acc:HGNC:22923]	62	0.22577956318855286	0.08565447	Yes	
row_2	GNPDA1	glucosamine-6-phosphate deaminase 1 [Source:HGNC Symbol;Acc:HGNC:4417]	166	0.148498073220253	0.1045918	Yes	
row_3	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	214	0.13192008435726166	0.12354335	Yes	
row_4	GUSB	glucuronidase beta [Source:HGNC Symbol;Acc:HGNC:4696]	252	0.12362074106931686	0.14163947	Yes	
row_5	IDH1	isocitrate dehydrogenase (NADP(+)) 1 [Source:HGNC Symbol;Acc:HGNC:5382]	255	0.1220887154340744	0.16116332	Yes	
row_6	NOL3	nucleolar protein 3 [Source:HGNC Symbol;Acc:HGNC:7869]	285	0.11299039423465729	0.17793375	Yes	
row_7	SLC25A10	solute carrier family 25 member 10 [Source:HGNC Symbol;Acc:HGNC:10980]	383	0.0982029139995575	0.18907568	Yes	
row_8	AKR1A1	aldo-keto reductase family 1 member A1 [Source:HGNC Symbol;Acc:HGNC:380]	435	0.09150627255439758	0.20134148	Yes	
row_9	RBCK1	RANBP2-type and C3HC4-type zinc finger containing 1 [Source:HGNC Symbol;Acc:HGNC:15864]	605	0.0762207880616188	0.20550741	Yes	
row_10	GPC1	glypican 1 [Source:HGNC Symbol;Acc:HGNC:4449]	628	0.07457493245601654	0.21643934	Yes	
row_11	B4GALT7	beta-1,4-galactosyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:930]	641	0.07369042932987213	0.22770737	Yes	
row_12	COPB2	COPI coat complex subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:2232]	748	0.06886981427669525	0.23370507	Yes	
row_13	ERO1A	endoplasmic reticulum oxidoreductase 1 alpha [Source:HGNC Symbol;Acc:HGNC:13280]	857	0.0647275298833847	0.23894146	Yes	
row_14	ANKZF1	ankyrin repeat and zinc finger peptidyl tRNA hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:25527]	906	0.06289934366941452	0.24675363	Yes	
row_15	MPI	mannose phosphate isomerase [Source:HGNC Symbol;Acc:HGNC:7216]	910	0.06275314092636108	0.2566945	Yes	
row_16	MDH1	malate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:6970]	939	0.061765510588884354	0.265281	Yes	
row_17	IDUA	alpha-L-iduronidase [Source:HGNC Symbol;Acc:HGNC:5391]	940	0.06165710836648941	0.27518922	Yes	
row_18	PHKA2	phosphorylase kinase regulatory subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:8926]	1069	0.05775238946080208	0.27834818	Yes	
row_19	ALDOA	aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]	1109	0.05640808120369911	0.28554767	Yes	
row_20	ZNF292	zinc finger protein 292 [Source:HGNC Symbol;Acc:HGNC:18410]	1154	0.055095124989748	0.29229704	Yes	
row_21	CASP6	caspase 6 [Source:HGNC Symbol;Acc:HGNC:1507]	1165	0.05481542646884918	0.30062753	Yes	
row_22	MDH2	malate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:6971]	1377	0.05014898255467415	0.29859504	Yes	
row_23	HSPA5	heat shock protein family A (Hsp70) member 5 [Source:HGNC Symbol;Acc:HGNC:5238]	1474	0.04836210981011391	0.30177546	Yes	
row_24	ME2	malic enzyme 2 [Source:HGNC Symbol;Acc:HGNC:6984]	1513	0.0473906546831131	0.30757368	Yes	
row_25	SDHC	succinate dehydrogenase complex subunit C [Source:HGNC Symbol;Acc:HGNC:10682]	1581	0.046062618494033813	0.3117715	Yes	
row_26	ALDH9A1	aldehyde dehydrogenase 9 family member A1 [Source:HGNC Symbol;Acc:HGNC:412]	1613	0.045624833554029465	0.31762075	Yes	
row_27	ENO2	enolase 2 [Source:HGNC Symbol;Acc:HGNC:3353]	1724	0.043433260172605515	0.3193395	Yes	
row_28	FAM162A	family with sequence similarity 162 member A [Source:HGNC Symbol;Acc:HGNC:17865]	1744	0.04310606047511101	0.3253579	Yes	
row_29	TPI1	triosephosphate isomerase 1 [Source:HGNC Symbol;Acc:HGNC:12009]	1776	0.042477235198020935	0.33070132	Yes	
row_30	DLD	dihydrolipoamide dehydrogenase [Source:HGNC Symbol;Acc:HGNC:2898]	1781	0.04229582101106644	0.33730692	Yes	
row_31	TXN	thioredoxin [Source:HGNC Symbol;Acc:HGNC:12435]	1950	0.03968561068177223	0.33564952	Yes	
row_32	B4GALT4	beta-1,4-galactosyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:927]	1979	0.0392439067363739	0.34061682	Yes	
row_33	CLDN3	claudin 3 [Source:HGNC Symbol;Acc:HGNC:2045]	2030	0.038579925894737244	0.34442526	Yes	
row_34	P4HA1	prolyl 4-hydroxylase subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:8546]	2061	0.0381636768579483	0.34912333	Yes	
row_35	NASP	nuclear autoantigenic sperm protein [Source:HGNC Symbol;Acc:HGNC:7644]	2084	0.03791751340031624	0.35416442	Yes	
row_36	PGK1	phosphoglycerate kinase 1 [Source:HGNC Symbol;Acc:HGNC:8896]	2088	0.037859443575143814	0.36010492	Yes	
row_37	DDIT4	DNA damage inducible transcript 4 [Source:HGNC Symbol;Acc:HGNC:24944]	2136	0.03732748702168465	0.36385557	Yes	
row_38	SDC3	syndecan 3 [Source:HGNC Symbol;Acc:HGNC:10660]	2192	0.03669680655002594	0.36712223	Yes	
row_39	TGFA	transforming growth factor alpha [Source:HGNC Symbol;Acc:HGNC:11765]	2194	0.03668094053864479	0.372969	Yes	
row_40	B4GALT1	beta-1,4-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:924]	2244	0.036008551716804504	0.37641203	Yes	
row_41	PGLS	6-phosphogluconolactonase [Source:HGNC Symbol;Acc:HGNC:8903]	2292	0.035519007593393326	0.37987205	Yes	
row_42	HAX1	HCLS1 associated protein X-1 [Source:HGNC Symbol;Acc:HGNC:16915]	2322	0.03512048348784447	0.3841289	Yes	
row_43	RARS1	arginyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:9870]	2510	0.03285559266805649	0.38046524	Yes	
row_44	P4HA2	prolyl 4-hydroxylase subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:8547]	2531	0.03268882632255554	0.38476175	Yes	
row_45	PYGB	glycogen phosphorylase B [Source:HGNC Symbol;Acc:HGNC:9723]	2594	0.03207460418343544	0.38695088	Yes	
row_46	SOD1	superoxide dismutase 1 [Source:HGNC Symbol;Acc:HGNC:11179]	2791	0.030076250433921814	0.38241014	No	
row_47	GOT2	glutamic-oxaloacetic transaminase 2 [Source:HGNC Symbol;Acc:HGNC:4433]	3142	0.027074569836258888	0.3700218	No	
row_48	PGM2	phosphoglucomutase 2 [Source:HGNC Symbol;Acc:HGNC:8906]	3286	0.025772837921977043	0.3673243	No	
row_49	AGL	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase [Source:HGNC Symbol;Acc:HGNC:321]	3352	0.02531473897397518	0.36828363	No	
row_50	DSC2	desmocollin 2 [Source:HGNC Symbol;Acc:HGNC:3036]	3392	0.024954214692115784	0.3704285	No	
row_51	GOT1	glutamic-oxaloacetic transaminase 1 [Source:HGNC Symbol;Acc:HGNC:4432]	3447	0.024430809542536736	0.37177187	No	
row_52	XYLT2	xylosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:15517]	3549	0.023592151701450348	0.37073267	No	
row_53	EFNA3	ephrin A3 [Source:HGNC Symbol;Acc:HGNC:3223]	3658	0.02273641712963581	0.36922112	No	
row_54	CYB5A	cytochrome b5 type A [Source:HGNC Symbol;Acc:HGNC:2570]	3774	0.021781891584396362	0.36722142	No	
