NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HK2	hexokinase 2 [Source:HGNC Symbol;Acc:HGNC:4923]	25	0.3253878355026245	0.038187448	No	
row_1	CDKN1B	cyclin dependent kinase inhibitor 1B [Source:HGNC Symbol;Acc:HGNC:1785]	60	0.2274937480688095	0.0640961	No	
row_2	CCNG2	cyclin G2 [Source:HGNC Symbol;Acc:HGNC:1593]	209	0.13363754749298096	0.07319412	No	
row_3	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	214	0.13192008435726166	0.0889696	No	
row_4	BHLHE40	basic helix-loop-helix family member e40 [Source:HGNC Symbol;Acc:HGNC:1046]	565	0.07901923358440399	0.081798375	No	
row_5	FOXO3	forkhead box O3 [Source:HGNC Symbol;Acc:HGNC:3821]	570	0.07868019491434097	0.09113005	No	
row_6	GPC1	glypican 1 [Source:HGNC Symbol;Acc:HGNC:4449]	628	0.07457493245601654	0.09743067	No	
row_7	NDST2	N-deacetylase and N-sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:7681]	693	0.07118450105190277	0.102986224	No	
row_8	KDM3A	lysine demethylase 3A [Source:HGNC Symbol;Acc:HGNC:20815]	767	0.06825307756662369	0.107756644	No	
row_9	WSB1	WD repeat and SOCS box containing 1 [Source:HGNC Symbol;Acc:HGNC:19221]	769	0.0682201087474823	0.11596575	No	
row_10	SIAH2	siah E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:10858]	821	0.06581953912973404	0.121493556	No	
row_11	KLHL24	kelch like family member 24 [Source:HGNC Symbol;Acc:HGNC:25947]	844	0.06509919464588165	0.12832081	No	
row_12	ERO1A	endoplasmic reticulum oxidoreductase 1 alpha [Source:HGNC Symbol;Acc:HGNC:13280]	857	0.0647275298833847	0.13558123	No	
row_13	ANKZF1	ankyrin repeat and zinc finger peptidyl tRNA hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:25527]	906	0.06289934366941452	0.14089905	No	
row_14	LARGE1	LARGE xylosyl- and glucuronyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:6511]	971	0.06064329296350479	0.14517877	No	
row_15	GPI	glucose-6-phosphate isomerase [Source:HGNC Symbol;Acc:HGNC:4458]	1019	0.059221044182777405	0.15009919	No	
row_16	ALDOA	aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]	1109	0.05640808120369911	0.15267093	No	
row_17	NR3C1	nuclear receptor subfamily 3 group C member 1 [Source:HGNC Symbol;Acc:HGNC:7978]	1136	0.055854056030511856	0.15818796	No	
row_18	ZNF292	zinc finger protein 292 [Source:HGNC Symbol;Acc:HGNC:18410]	1154	0.055095124989748	0.16404346	No	
row_19	CASP6	caspase 6 [Source:HGNC Symbol;Acc:HGNC:1507]	1165	0.05481542646884918	0.17019981	No	
row_20	RBPJ	recombination signal binding protein for immunoglobulin kappa J region [Source:HGNC Symbol;Acc:HGNC:5724]	1401	0.0495821088552475	0.16496441	No	
row_21	HSPA5	heat shock protein family A (Hsp70) member 5 [Source:HGNC Symbol;Acc:HGNC:5238]	1474	0.04836210981011391	0.16737518	No	
