NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	STAT2	signal transducer and activator of transcription 2 [Source:HGNC Symbol;Acc:HGNC:11363]	290	0.11208237707614899	0.055662625	Yes	
row_1	STAT1	signal transducer and activator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:11362]	705	0.07063500583171844	0.07974216	Yes	
row_2	STAM2	signal transducing adaptor molecule 2 [Source:HGNC Symbol;Acc:HGNC:11358]	921	0.062280237674713135	0.1081101	Yes	
row_3	IL6ST	interleukin 6 cytokine family signal transducer [Source:HGNC Symbol;Acc:HGNC:6021]	1129	0.05599454790353775	0.13296336	Yes	
row_4	LTBR	lymphotoxin beta receptor [Source:HGNC Symbol;Acc:HGNC:6718]	1459	0.048599522560834885	0.14743078	Yes	
row_5	IRF9	interferon regulatory factor 9 [Source:HGNC Symbol;Acc:HGNC:6131]	1730	0.04329606890678406	0.16141811	Yes	
row_6	CD9	CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709]	1773	0.04251411557197571	0.18576615	Yes	
row_7	IFNAR1	interferon alpha and beta receptor subunit 1 [Source:HGNC Symbol;Acc:HGNC:5432]	2068	0.03810315579175949	0.19539385	Yes	
row_8	IL1R1	interleukin 1 receptor type 1 [Source:HGNC Symbol;Acc:HGNC:5993]	2279	0.03561071306467056	0.20747261	Yes	
row_9	HAX1	HCLS1 associated protein X-1 [Source:HGNC Symbol;Acc:HGNC:16915]	2322	0.03512048348784447	0.22723883	Yes	
row_10	TYK2	tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:12440]	2564	0.032376013696193695	0.2358385	Yes	
row_11	STAT3	signal transducer and activator of transcription 3 [Source:HGNC Symbol;Acc:HGNC:11364]	2932	0.028864329680800438	0.23626855	Yes	
row_12	PTPN11	protein tyrosine phosphatase non-receptor type 11 [Source:HGNC Symbol;Acc:HGNC:9644]	3013	0.028172016143798828	0.24992128	Yes	
row_13	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	3062	0.027713460847735405	0.264812	Yes	
row_14	BAK1	BCL2 antagonist/killer 1 [Source:HGNC Symbol;Acc:HGNC:949]	4351	0.017654934898018837	0.21448646	No	
row_15	CSF1	colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]	4536	0.016548456624150276	0.21598916	No	
row_16	TNFRSF1A	TNF receptor superfamily member 1A [Source:HGNC Symbol;Acc:HGNC:11916]	4738	0.015173964202404022	0.21583146	No	
row_17	MYD88	MYD88 innate immune signal transduction adaptor [Source:HGNC Symbol;Acc:HGNC:7562]	5027	0.013446411117911339	0.21046486	No	
row_18	TLR2	toll like receptor 2 [Source:HGNC Symbol;Acc:HGNC:11848]	5102	0.013004609383642673	0.21500382	No	
row_19	MAP3K8	mitogen-activated protein kinase kinase kinase 8 [Source:HGNC Symbol;Acc:HGNC:6860]	5359	0.011500534601509571	0.20995352	No	
row_20	TGFB1	transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]	5430	0.011089526116847992	0.21349597	No	
row_21	IL7	interleukin 7 [Source:HGNC Symbol;Acc:HGNC:6023]	5787	0.009137862361967564	0.20222484	No	
row_22	CSF3R	colony stimulating factor 3 receptor [Source:HGNC Symbol;Acc:HGNC:2439]	6516	0.005559603217989206	0.17104135	No	
row_23	PTPN2	protein tyrosine phosphatase non-receptor type 2 [Source:HGNC Symbol;Acc:HGNC:9650]	6729	0.004736645147204399	0.16389245	No	
