NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GABBR1	gamma-aminobutyric acid type B receptor subunit 1 [Source:HGNC Symbol;Acc:HGNC:4070]	29	0.3211571276187897	0.04821506	No	
row_1	EIF2AK2	eukaryotic translation initiation factor 2 alpha kinase 2 [Source:HGNC Symbol;Acc:HGNC:9437]	84	0.1971837431192398	0.07608738	No	
row_2	HPN	hepsin [Source:HGNC Symbol;Acc:HGNC:5155]	523	0.08313523977994919	0.067983456	No	
row_3	MXD1	MAX dimerization protein 1 [Source:HGNC Symbol;Acc:HGNC:6761]	785	0.06724854558706284	0.06588952	No	
row_4	SLC11A2	solute carrier family 11 member 2 [Source:HGNC Symbol;Acc:HGNC:10908]	819	0.06585225462913513	0.07448224	No	
row_5	CD55	CD55 molecule (Cromer blood group) [Source:HGNC Symbol;Acc:HGNC:2665]	1160	0.05491715297102928	0.066706195	No	
row_6	PSEN1	presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]	1263	0.05258965492248535	0.06995116	No	
row_7	ATP2C1	ATPase secretory pathway Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:13211]	1608	0.045724425464868546	0.060564067	No	
row_8	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	1911	0.04025351256132126	0.052340325	No	
row_9	IFNAR1	interferon alpha and beta receptor subunit 1 [Source:HGNC Symbol;Acc:HGNC:5432]	2068	0.03810315579175949	0.050765768	No	
row_10	IL1A	interleukin 1 alpha [Source:HGNC Symbol;Acc:HGNC:5991]	2089	0.0378008671104908	0.055647656	No	
row_11	SLC31A1	solute carrier family 31 member 1 [Source:HGNC Symbol;Acc:HGNC:11016]	2127	0.037414874881505966	0.059657037	No	
row_12	IL1R1	interleukin 1 receptor type 1 [Source:HGNC Symbol;Acc:HGNC:5993]	2279	0.03561071306467056	0.057936616	No	
row_13	KIF1B	kinesin family member 1B [Source:HGNC Symbol;Acc:HGNC:16636]	2770	0.030253751203417778	0.03917882	No	
row_14	IRF7	interferon regulatory factor 7 [Source:HGNC Symbol;Acc:HGNC:6122]	2778	0.03017979860305786	0.043505277	No	
row_15	PDPN	podoplanin [Source:HGNC Symbol;Acc:HGNC:29602]	3253	0.02607458084821701	0.024867091	No	
row_16	BTG2	BTG anti-proliferation factor 2 [Source:HGNC Symbol;Acc:HGNC:1131]	3602	0.023131586611270905	0.011799329	No	
row_17	ITGB8	integrin subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:6163]	3661	0.02270146831870079	0.012532108	No	
row_18	GNAI3	G protein subunit alpha i3 [Source:HGNC Symbol;Acc:HGNC:4387]	3725	0.022173775359988213	0.012944302	No	
row_19	ABCA1	ATP binding cassette subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:29]	3766	0.021846601739525795	0.014405758	No	
row_20	CSF1	colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]	4536	0.016548456624150276	-0.019809768	No	
row_21	ATP2A2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2 [Source:HGNC Symbol;Acc:HGNC:812]	4725	0.015259034000337124	-0.026442679	No	
row_22	TNFSF9	TNF superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:11939]	4802	0.014843066222965717	-0.027784314	No	
row_23	TLR2	toll like receptor 2 [Source:HGNC Symbol;Acc:HGNC:11848]	5102	0.013004609383642673	-0.04007312	No	
row_24	P2RX7	purinergic receptor P2X 7 [Source:HGNC Symbol;Acc:HGNC:8537]	5488	0.01074451394379139	-0.05682326	No	
row_25	GCH1	GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193]	5492	0.010698305442929268	-0.05531439	No	
row_26	STAB1	stabilin 1 [Source:HGNC Symbol;Acc:HGNC:18628]	5502	0.010654561221599579	-0.05409918	No	
row_27	FZD5	frizzled class receptor 5 [Source:HGNC Symbol;Acc:HGNC:4043]	5622	0.009926514700055122	-0.0582563	No	
row_28	SLC31A2	solute carrier family 31 member 2 [Source:HGNC Symbol;Acc:HGNC:11017]	5651	0.00976632535457611	-0.0580868	No	
row_29	TAPBP	TAP binding protein [Source:HGNC Symbol;Acc:HGNC:11566]	5818	0.008951053023338318	-0.06464198	No	
row_30	TNFSF10	TNF superfamily member 10 [Source:HGNC Symbol;Acc:HGNC:11925]	5861	0.008684241212904453	-0.06530905	No	
row_31	CSF3R	colony stimulating factor 3 receptor [Source:HGNC Symbol;Acc:HGNC:2439]	6516	0.005559603217989206	-0.095722795	No	
row_32	BEST1	bestrophin 1 [Source:HGNC Symbol;Acc:HGNC:12703]	6754	0.004632178694009781	-0.106340036	No	
row_33	CMKLR1	chemerin chemokine-like receptor 1 [Source:HGNC Symbol;Acc:HGNC:2121]	6787	0.0045221238397061825	-0.10717175	No	
row_34	SEMA4D	semaphorin 4D [Source:HGNC Symbol;Acc:HGNC:10732]	6792	0.004508865997195244	-0.10666664	No	
row_35	OLR1	oxidized low density lipoprotein receptor 1 [Source:HGNC Symbol;Acc:HGNC:8133]	6895	0.004127101507037878	-0.11090657	No	
row_36	IL10	interleukin 10 [Source:HGNC Symbol;Acc:HGNC:5962]	7141	0.003252451540902257	-0.12211944	No	
row_37	AHR	aryl hydrocarbon receptor [Source:HGNC Symbol;Acc:HGNC:348]	7174	0.003143239999189973	-0.123164125	No	
