NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	USP18	ubiquitin specific peptidase 18 [Source:HGNC Symbol;Acc:HGNC:12616]	1	0.6052605509757996	0.19791768	Yes	
row_1	EIF2AK2	eukaryotic translation initiation factor 2 alpha kinase 2 [Source:HGNC Symbol;Acc:HGNC:9437]	84	0.1971837431192398	0.25850853	Yes	
row_2	STAT2	signal transducer and activator of transcription 2 [Source:HGNC Symbol;Acc:HGNC:11363]	290	0.11208237707614899	0.28541058	Yes	
row_3	PARP9	poly(ADP-ribose) polymerase family member 9 [Source:HGNC Symbol;Acc:HGNC:24118]	728	0.0696340948343277	0.28738648	Yes	
row_4	SLC25A28	solute carrier family 25 member 28 [Source:HGNC Symbol;Acc:HGNC:23472]	782	0.06732291728258133	0.30688348	Yes	
row_5	LAP3	leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]	903	0.06301723420619965	0.32178324	Yes	
row_6	PLSCR1	phospholipid scramblase 1 [Source:HGNC Symbol;Acc:HGNC:9092]	1044	0.05844980850815773	0.3342372	Yes	
row_7	ADAR	adenosine deaminase RNA specific [Source:HGNC Symbol;Acc:HGNC:225]	1146	0.05535099655389786	0.34753385	Yes	
row_8	DHX58	DExH-box helicase 58 [Source:HGNC Symbol;Acc:HGNC:29517]	1175	0.05460391193628311	0.3640607	Yes	
row_9	CMTR1	cap methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:21077]	1209	0.05392841249704361	0.38012865	Yes	
row_10	DDX60	DExD/H-box helicase 60 [Source:HGNC Symbol;Acc:HGNC:25942]	1248	0.053022902458906174	0.39566243	Yes	
row_11	TRIM25	tripartite motif containing 25 [Source:HGNC Symbol;Acc:HGNC:12932]	1359	0.05052227899432182	0.40695137	Yes	
row_12	LGALS3BP	galectin 3 binding protein [Source:HGNC Symbol;Acc:HGNC:6564]	1416	0.04937409609556198	0.42043498	Yes	
row_13	IRF9	interferon regulatory factor 9 [Source:HGNC Symbol;Acc:HGNC:6131]	1730	0.04329606890678406	0.41969833	Yes	
row_14	MOV10	Mov10 RISC complex RNA helicase [Source:HGNC Symbol;Acc:HGNC:7200]	1949	0.03968596085906029	0.4223026	Yes	
row_15	TRIM26	tripartite motif containing 26 [Source:HGNC Symbol;Acc:HGNC:12962]	1954	0.03960948437452316	0.43506745	Yes	
row_16	CNP	2',3'-cyclic nucleotide 3' phosphodiesterase [Source:HGNC Symbol;Acc:HGNC:2158]	2005	0.038852427154779434	0.4453953	Yes	
row_17	PARP14	poly(ADP-ribose) polymerase family member 14 [Source:HGNC Symbol;Acc:HGNC:29232]	2103	0.03767208009958267	0.4531	Yes	
row_18	PNPT1	polyribonucleotide nucleotidyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:23166]	2285	0.035563550889492035	0.45611697	Yes	
row_19	PSMA3	proteasome 20S subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:9532]	2382	0.0345027819275856	0.46283272	Yes	
row_20	PARP12	poly(ADP-ribose) polymerase family member 12 [Source:HGNC Symbol;Acc:HGNC:21919]	2664	0.031085925176739693	0.45962554	Yes	
row_21	TMEM140	transmembrane protein 140 [Source:HGNC Symbol;Acc:HGNC:21870]	2710	0.030815081670880318	0.46756253	Yes	
row_22	IRF7	interferon regulatory factor 7 [Source:HGNC Symbol;Acc:HGNC:6122]	2778	0.03017979860305786	0.47424462	Yes	
row_23	PSMB8	proteasome 20S subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:9545]	2827	0.029800012707710266	0.48170683	Yes	
row_24	IRF2	interferon regulatory factor 2 [Source:HGNC Symbol;Acc:HGNC:6117]	2911	0.028978463262319565	0.48723444	Yes	
row_25	HELZ2	helicase with zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:30021]	3486	0.02404787763953209	0.46777955	No	
row_26	GMPR	guanosine monophosphate reductase [Source:HGNC Symbol;Acc:HGNC:4376]	3894	0.020884137600660324	0.4552385	No	
row_27	RSAD2	radical S-adenosyl methionine domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30908]	4110	0.019264964386820793	0.45130634	No	
row_28	B2M	beta-2-microglobulin [Source:HGNC Symbol;Acc:HGNC:914]	4254	0.01829526014626026	0.45048398	No	
row_29	CSF1	colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]	4536	0.016548456624150276	0.442522	No	
