NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	USP18	ubiquitin specific peptidase 18 [Source:HGNC Symbol;Acc:HGNC:12616]	1	0.6052605509757996	0.124879375	Yes	
row_1	EIF2AK2	eukaryotic translation initiation factor 2 alpha kinase 2 [Source:HGNC Symbol;Acc:HGNC:9437]	84	0.1971837431192398	0.16165756	Yes	
row_2	PTPN6	protein tyrosine phosphatase non-receptor type 6 [Source:HGNC Symbol;Acc:HGNC:9658]	128	0.17039968073368073	0.19477232	Yes	
row_3	STAT2	signal transducer and activator of transcription 2 [Source:HGNC Symbol;Acc:HGNC:11363]	290	0.11208237707614899	0.21020782	Yes	
row_4	CASP7	caspase 7 [Source:HGNC Symbol;Acc:HGNC:1508]	480	0.08733496069908142	0.21919651	Yes	
row_5	IRF5	interferon regulatory factor 5 [Source:HGNC Symbol;Acc:HGNC:6120]	491	0.08632062375545502	0.23653512	Yes	
row_6	RBCK1	RANBP2-type and C3HC4-type zinc finger containing 1 [Source:HGNC Symbol;Acc:HGNC:15864]	605	0.0762207880616188	0.24686393	Yes	
row_7	STAT1	signal transducer and activator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:11362]	705	0.07063500583171844	0.25670928	Yes	
row_8	SLC25A28	solute carrier family 25 member 28 [Source:HGNC Symbol;Acc:HGNC:23472]	782	0.06732291728258133	0.26697078	Yes	
row_9	TOR1B	torsin family 1 member B [Source:HGNC Symbol;Acc:HGNC:11995]	880	0.06381717324256897	0.27550453	Yes	
row_10	LAP3	leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]	903	0.06301723420619965	0.28745946	Yes	
row_11	PLSCR1	phospholipid scramblase 1 [Source:HGNC Symbol;Acc:HGNC:9092]	1044	0.05844980850815773	0.29282922	Yes	
row_12	ADAR	adenosine deaminase RNA specific [Source:HGNC Symbol;Acc:HGNC:225]	1146	0.05535099655389786	0.29942426	Yes	
row_13	DHX58	DExH-box helicase 58 [Source:HGNC Symbol;Acc:HGNC:29517]	1175	0.05460391193628311	0.30935577	Yes	
row_14	CMTR1	cap methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:21077]	1209	0.05392841249704361	0.31890875	Yes	
row_15	DDX60	DExD/H-box helicase 60 [Source:HGNC Symbol;Acc:HGNC:25942]	1248	0.053022902458906174	0.32803574	Yes	
row_16	TRIM25	tripartite motif containing 25 [Source:HGNC Symbol;Acc:HGNC:12932]	1359	0.05052227899432182	0.3332038	Yes	
row_17	LGALS3BP	galectin 3 binding protein [Source:HGNC Symbol;Acc:HGNC:6564]	1416	0.04937409609556198	0.34071696	Yes	
row_18	SPPL2A	signal peptide peptidase like 2A [Source:HGNC Symbol;Acc:HGNC:30227]	1673	0.04445888474583626	0.33765218	Yes	
row_19	IRF9	interferon regulatory factor 9 [Source:HGNC Symbol;Acc:HGNC:6131]	1730	0.04329606890678406	0.3439108	Yes	
row_20	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	1911	0.04025351256132126	0.34361216	Yes	
row_21	TRIM26	tripartite motif containing 26 [Source:HGNC Symbol;Acc:HGNC:12962]	1954	0.03960948437452316	0.34977934	Yes	
