NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SATB1	SATB homeobox 1 [Source:HGNC Symbol;Acc:HGNC:10541]	360	0.10099823027849197	0.004469976	No	
row_1	USP12	ubiquitin specific peptidase 12 [Source:HGNC Symbol;Acc:HGNC:20485]	483	0.08693335950374603	0.017298581	No	
row_2	SDCCAG8	SHH signaling and ciliogenesis regulator SDCCAG8 [Source:HGNC Symbol;Acc:HGNC:10671]	839	0.06522688269615173	0.014328995	No	
row_3	ERO1A	endoplasmic reticulum oxidoreductase 1 alpha [Source:HGNC Symbol;Acc:HGNC:13280]	857	0.0647275298833847	0.027410552	No	
row_4	CDADC1	cytidine and dCMP deaminase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20299]	917	0.06243596598505974	0.037992366	No	
row_5	ZNF639	zinc finger protein 639 [Source:HGNC Symbol;Acc:HGNC:30950]	937	0.06185321882367134	0.05036132	No	
row_6	MAP3K1	mitogen-activated protein kinase kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:6848]	1534	0.047030650079250336	0.031964593	No	
row_7	NIN	ninein [Source:HGNC Symbol;Acc:HGNC:14906]	1596	0.04589257761836052	0.038899634	No	
row_8	WDR33	WD repeat domain 33 [Source:HGNC Symbol;Acc:HGNC:25651]	1737	0.04320003092288971	0.041480046	No	
row_9	AMMECR1	AMMECR nuclear protein 1 [Source:HGNC Symbol;Acc:HGNC:467]	1833	0.041308872401714325	0.045805767	No	
row_10	ADAM17	ADAM metallopeptidase domain 17 [Source:HGNC Symbol;Acc:HGNC:195]	2067	0.038105059415102005	0.04284657	No	
row_11	TOR1AIP2	torsin 1A interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:24055]	2172	0.03698018193244934	0.045812853	No	
row_12	ANO1	anoctamin 1 [Source:HGNC Symbol;Acc:HGNC:21625]	2185	0.036760929971933365	0.053130195	No	
row_13	AVL9	AVL9 cell migration associated [Source:HGNC Symbol;Acc:HGNC:28994]	2187	0.03674820438027382	0.06097067	No	
row_14	PRELID3B	PRELI domain containing 3B [Source:HGNC Symbol;Acc:HGNC:15892]	2360	0.03471484035253525	0.06019989	No	
row_15	PEG3	paternally expressed 3 [Source:HGNC Symbol;Acc:HGNC:8826]	2636	0.03146358206868172	0.053807214	No	
row_16	CBX8	chromobox 8 [Source:HGNC Symbol;Acc:HGNC:15962]	2800	0.030014527961611748	0.052457724	No	
row_17	PSMB8	proteasome 20S subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:9545]	2827	0.029800012707710266	0.057611573	No	
row_18	EVI5	ecotropic viral integration site 5 [Source:HGNC Symbol;Acc:HGNC:3501]	3132	0.027127070352435112	0.048901666	No	
row_19	TSPAN13	tetraspanin 13 [Source:HGNC Symbol;Acc:HGNC:21643]	3555	0.023571914061903954	0.03378754	No	
