NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CEP250	centrosomal protein 250 [Source:HGNC Symbol;Acc:HGNC:1859]	144	0.1568397581577301	0.012950761	No	
row_1	SOS1	SOS Ras/Rac guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:11187]	189	0.14065401256084442	0.028636716	No	
row_2	ARFGEF1	ADP ribosylation factor guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:15772]	280	0.11370723694562912	0.038714483	No	
row_3	PCM1	pericentriolar material 1 [Source:HGNC Symbol;Acc:HGNC:8727]	300	0.11025296896696091	0.05175085	No	
row_4	ARHGAP5	Rho GTPase activating protein 5 [Source:HGNC Symbol;Acc:HGNC:675]	321	0.10707458853721619	0.06433739	No	
row_5	FGD4	FYVE, RhoGEF and PH domain containing 4 [Source:HGNC Symbol;Acc:HGNC:19125]	392	0.09643276780843735	0.073186725	No	
row_6	MID1IP1	MID1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:20715]	402	0.09494633972644806	0.084765315	No	
row_7	LATS1	large tumor suppressor kinase 1 [Source:HGNC Symbol;Acc:HGNC:6514]	449	0.08982846885919571	0.09392711	No	
row_8	TLK1	tousled like kinase 1 [Source:HGNC Symbol;Acc:HGNC:11841]	495	0.08591630309820175	0.102641895	No	
row_9	WASL	WASP like actin nucleation promoting factor [Source:HGNC Symbol;Acc:HGNC:12735]	506	0.08445029705762863	0.11284511	No	
row_10	KATNA1	katanin catalytic subunit A1 [Source:HGNC Symbol;Acc:HGNC:6216]	587	0.07730723917484283	0.11879716	No	
row_11	LRPPRC	leucine rich pentatricopeptide repeat containing [Source:HGNC Symbol;Acc:HGNC:15714]	609	0.07595691829919815	0.12740006	No	
row_12	ARHGEF3	Rho guanine nucleotide exchange factor 3 [Source:HGNC Symbol;Acc:HGNC:683]	669	0.07210507243871689	0.13369843	No	
row_13	CEP192	centrosomal protein 192 [Source:HGNC Symbol;Acc:HGNC:25515]	758	0.06862540543079376	0.1381698	No	
row_14	RALBP1	ralA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9841]	1020	0.059164658188819885	0.133171	No	
row_15	RICTOR	RPTOR independent companion of MTOR complex 2 [Source:HGNC Symbol;Acc:HGNC:28611]	1049	0.058403823524713516	0.13921897	No	
row_16	WASF2	WASP family member 2 [Source:HGNC Symbol;Acc:HGNC:12733]	1232	0.053418852388858795	0.13727152	No	
row_17	KIF3B	kinesin family member 3B [Source:HGNC Symbol;Acc:HGNC:6320]	1292	0.05174596235156059	0.14099485	No	
row_18	KIFAP3	kinesin associated protein 3 [Source:HGNC Symbol;Acc:HGNC:17060]	1339	0.050853025168180466	0.14522694	No	
row_19	ARHGEF7	Rho guanine nucleotide exchange factor 7 [Source:HGNC Symbol;Acc:HGNC:15607]	1402	0.04958101734519005	0.14853296	No	
row_20	TSC1	TSC complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:12362]	1412	0.04941928759217262	0.1543532	No	
row_21	STAU1	staufen double-stranded RNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11370]	1473	0.04836367070674896	0.1576009	No	
row_22	SMC3	structural maintenance of chromosomes 3 [Source:HGNC Symbol;Acc:HGNC:2468]	1482	0.04820235073566437	0.16331504	No	
row_23	NIN	ninein [Source:HGNC Symbol;Acc:HGNC:14906]	1596	0.04589257761836052	0.16371551	No	
row_24	PAFAH1B1	platelet activating factor acetylhydrolase 1b regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8574]	1644	0.045006658881902695	0.16716032	No	
row_25	RASA1	RAS p21 protein activator 1 [Source:HGNC Symbol;Acc:HGNC:9871]	1658	0.04472276195883751	0.17219524	No	
row_26	TUBGCP6	tubulin gamma complex associated protein 6 [Source:HGNC Symbol;Acc:HGNC:18127]	1764	0.042688220739364624	0.17257302	No	
row_27	EZR	ezrin [Source:HGNC Symbol;Acc:HGNC:12691]	1990	0.039085160940885544	0.16675618	No	
row_28	TUBGCP3	tubulin gamma complex associated protein 3 [Source:HGNC Symbol;Acc:HGNC:18598]	2021	0.038639575242996216	0.17020868	No	
row_29	BCL2L11	BCL2 like 11 [Source:HGNC Symbol;Acc:HGNC:994]	2223	0.036248303949832916	0.16518082	No	
row_30	SUN2	Sad1 and UNC84 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:14210]	2254	0.03586952015757561	0.16828294	No	
row_31	NCK1	NCK adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:7664]	2302	0.035359982401132584	0.17050761	No	
row_32	SHROOM1	shroom family member 1 [Source:HGNC Symbol;Acc:HGNC:24084]	2517	0.03279261663556099	0.16442096	No	
row_33	ARHGEF11	Rho guanine nucleotide exchange factor 11 [Source:HGNC Symbol;Acc:HGNC:14580]	2611	0.03184937685728073	0.1640017	No	
row_34	ARL8A	ADP ribosylation factor like GTPase 8A [Source:HGNC Symbol;Acc:HGNC:25192]	2631	0.031531501561403275	0.1670812	No	
row_35	DLG1	discs large MAGUK scaffold protein 1 [Source:HGNC Symbol;Acc:HGNC:2900]	2634	0.03149066120386124	0.17096856	No	
row_36	RABGAP1	RAB GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:17155]	2699	0.030884429812431335	0.17181416	No	
row_37	KIF22	kinesin family member 22 [Source:HGNC Symbol;Acc:HGNC:6391]	2747	0.03049425780773163	0.17342341	No	
row_38	KIF1B	kinesin family member 1B [Source:HGNC Symbol;Acc:HGNC:16636]	2770	0.030253751203417778	0.17619784	No	
row_39	YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon [Source:HGNC Symbol;Acc:HGNC:12851]	2788	0.030090490356087685	0.17919074	No	
row_40	KATNB1	katanin regulatory subunit B1 [Source:HGNC Symbol;Acc:HGNC:6217]	2874	0.029336674138903618	0.17883626	No	
row_41	OPHN1	oligophrenin 1 [Source:HGNC Symbol;Acc:HGNC:8148]	2952	0.02869560942053795	0.1787833	No	
row_42	MAPRE1	microtubule associated protein RP/EB family member 1 [Source:HGNC Symbol;Acc:HGNC:6890]	2956	0.02865409664809704	0.18226404	No	
row_43	CLIP1	CAP-Gly domain containing linker protein 1 [Source:HGNC Symbol;Acc:HGNC:10461]	2967	0.02853735163807869	0.18539527	No	
row_44	TBCD	tubulin folding cofactor D [Source:HGNC Symbol;Acc:HGNC:11581]	2974	0.028493661433458328	0.18871227	No	
row_45	ATG4B	autophagy related 4B cysteine peptidase [Source:HGNC Symbol;Acc:HGNC:20790]	2998	0.028278039768338203	0.19118898	No	
