NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SCD	stearoyl-CoA desaturase [Source:HGNC Symbol;Acc:HGNC:10571]	9	0.4810463786125183	0.07920838	Yes	
row_1	HK2	hexokinase 2 [Source:HGNC Symbol;Acc:HGNC:4923]	25	0.3253878355026245	0.13236	Yes	
row_2	SSR1	signal sequence receptor subunit 1 [Source:HGNC Symbol;Acc:HGNC:11323]	68	0.21651355922222137	0.16619575	Yes	
row_3	CANX	calnexin [Source:HGNC Symbol;Acc:HGNC:1473]	105	0.18064291775226593	0.19437996	Yes	
row_4	IDH1	isocitrate dehydrogenase (NADP(+)) 1 [Source:HGNC Symbol;Acc:HGNC:5382]	255	0.1220887154340744	0.2074657	Yes	
row_5	SERP1	stress associated endoplasmic reticulum protein 1 [Source:HGNC Symbol;Acc:HGNC:10759]	312	0.10853873193264008	0.22275624	Yes	
row_6	GLA	galactosidase alpha [Source:HGNC Symbol;Acc:HGNC:4296]	542	0.08126280456781387	0.22525683	Yes	
row_7	BHLHE40	basic helix-loop-helix family member e40 [Source:HGNC Symbol;Acc:HGNC:1046]	565	0.07901923358440399	0.2372865	Yes	
row_8	HSP90B1	heat shock protein 90 beta family member 1 [Source:HGNC Symbol;Acc:HGNC:12028]	591	0.07705418765544891	0.24884737	Yes	
row_9	UFM1	ubiquitin fold modifier 1 [Source:HGNC Symbol;Acc:HGNC:20597]	638	0.07413887232542038	0.25892118	Yes	
row_10	HSPA9	heat shock protein family A (Hsp70) member 9 [Source:HGNC Symbol;Acc:HGNC:5244]	752	0.06880580633878708	0.2649076	Yes	
row_11	TCEA1	transcription elongation factor A1 [Source:HGNC Symbol;Acc:HGNC:11612]	756	0.0687016099691391	0.2761379	Yes	
row_12	ERO1A	endoplasmic reticulum oxidoreductase 1 alpha [Source:HGNC Symbol;Acc:HGNC:13280]	857	0.0647275298833847	0.28207088	Yes	
row_13	GMPS	guanine monophosphate synthase [Source:HGNC Symbol;Acc:HGNC:4378]	1009	0.059587959200143814	0.28471375	Yes	
row_14	GPI	glucose-6-phosphate isomerase [Source:HGNC Symbol;Acc:HGNC:4458]	1019	0.059221044182777405	0.29408753	Yes	
row_15	ALDOA	aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]	1109	0.05640808120369911	0.29916933	Yes	
