NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CANX	calnexin [Source:HGNC Symbol;Acc:HGNC:1473]	105	0.18064291775226593	0.02660467	Yes	
row_1	TOMM70	translocase of outer mitochondrial membrane 70 [Source:HGNC Symbol;Acc:HGNC:11985]	412	0.09361890703439713	0.028359193	Yes	
row_2	XPO1	exportin 1 [Source:HGNC Symbol;Acc:HGNC:12825]	596	0.0767790675163269	0.0330486	Yes	
row_3	UBE2E1	ubiquitin conjugating enzyme E2 E1 [Source:HGNC Symbol;Acc:HGNC:12477]	741	0.06897494196891785	0.03823707	Yes	
row_4	ORC2	origin recognition complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:8488]	803	0.0663972869515419	0.046944205	Yes	
row_5	EIF1AX	eukaryotic translation initiation factor 1A X-linked [Source:HGNC Symbol;Acc:HGNC:3250]	919	0.062342382967472076	0.05235854	Yes	
row_6	SRSF7	serine and arginine rich splicing factor 7 [Source:HGNC Symbol;Acc:HGNC:10789]	1058	0.05814412608742714	0.055937737	Yes	
row_7	SLC25A3	solute carrier family 25 member 3 [Source:HGNC Symbol;Acc:HGNC:10989]	1107	0.05642537400126457	0.0635208	Yes	
row_8	PTGES3	prostaglandin E synthase 3 [Source:HGNC Symbol;Acc:HGNC:16049]	1155	0.055089980363845825	0.07091788	Yes	
row_9	PABPC1	poly(A) binding protein cytoplasmic 1 [Source:HGNC Symbol;Acc:HGNC:8554]	1157	0.05497463420033455	0.08049499	Yes	
row_10	DDX18	DEAD-box helicase 18 [Source:HGNC Symbol;Acc:HGNC:2741]	1176	0.05456595495343208	0.08918743	Yes	
row_11	PHB1	prohibitin 1 [Source:HGNC Symbol;Acc:HGNC:8912]	1266	0.05243982374668121	0.09411163	Yes	
row_12	STARD7	StAR related lipid transfer domain containing 7 [Source:HGNC Symbol;Acc:HGNC:18063]	1450	0.04877462238073349	0.09389803	Yes	
