NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SCD	stearoyl-CoA desaturase [Source:HGNC Symbol;Acc:HGNC:10571]	9	0.4810463786125183	0.06990273	No	
row_1	ERBB3	erb-b2 receptor tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:3431]	219	0.1304328292608261	0.07898407	No	
row_2	MEF2A	myocyte enhancer factor 2A [Source:HGNC Symbol;Acc:HGNC:6993]	246	0.12486056983470917	0.09599704	No	
row_3	GABARAPL2	GABA type A receptor associated protein like 2 [Source:HGNC Symbol;Acc:HGNC:13291]	439	0.09124132245779037	0.10016076	No	
row_4	ACSL1	acyl-CoA synthetase long chain family member 1 [Source:HGNC Symbol;Acc:HGNC:3569]	485	0.08676134049892426	0.11069523	No	
row_5	CRAT	carnitine O-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:2342]	488	0.08639148622751236	0.12323078	No	
row_6	BHLHE40	basic helix-loop-helix family member e40 [Source:HGNC Symbol;Acc:HGNC:1046]	565	0.07901923358440399	0.13115166	No	
row_7	SLC6A8	solute carrier family 6 member 8 [Source:HGNC Symbol;Acc:HGNC:11055]	581	0.07777119427919388	0.14180553	No	
row_8	LARGE1	LARGE xylosyl- and glucuronyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:6511]	971	0.06064329296350479	0.1320801	No	
row_9	SPEG	striated muscle enriched protein kinase [Source:HGNC Symbol;Acc:HGNC:16901]	1074	0.05752138793468475	0.13561517	No	
row_10	ATP6AP1	ATPase H+ transporting accessory protein 1 [Source:HGNC Symbol;Acc:HGNC:868]	1188	0.054286036640405655	0.13815147	No	
row_11	PFKM	phosphofructokinase, muscle [Source:HGNC Symbol;Acc:HGNC:8877]	1414	0.04939679428935051	0.13461997	No	
row_12	EIF4A2	eukaryotic translation initiation factor 4A2 [Source:HGNC Symbol;Acc:HGNC:3284]	1690	0.04414500296115875	0.1279309	No	
row_13	MEF2D	myocyte enhancer factor 2D [Source:HGNC Symbol;Acc:HGNC:6997]	1716	0.04354192316532135	0.13310222	No	
row_14	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	1911	0.04025351256132126	0.12971552	No	
row_15	HSPB8	heat shock protein family B (small) member 8 [Source:HGNC Symbol;Acc:HGNC:30171]	2157	0.03716794401407242	0.12344017	No	
row_16	SH2B1	SH2B adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:30417]	2404	0.03414640948176384	0.11667526	No	
row_17	PVALB	parvalbumin [Source:HGNC Symbol;Acc:HGNC:9704]	2448	0.03364790976047516	0.1195397	No	
row_18	SIRT2	sirtuin 2 [Source:HGNC Symbol;Acc:HGNC:10886]	2615	0.03181519731879234	0.11625749	No	
row_19	ACHE	acetylcholinesterase (Cartwright blood group) [Source:HGNC Symbol;Acc:HGNC:108]	3176	0.026790037751197815	0.093409605	No	
row_20	AGL	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase [Source:HGNC Symbol;Acc:HGNC:321]	3352	0.02531473897397518	0.08874682	No	
row_21	LPIN1	lipin 1 [Source:HGNC Symbol;Acc:HGNC:13345]	3683	0.02254760079085827	0.07627135	No	
row_22	FHL1	four and a half LIM domains 1 [Source:HGNC Symbol;Acc:HGNC:3702]	3759	0.021897796541452408	0.07588841	No	
row_23	FOXO4	forkhead box O4 [Source:HGNC Symbol;Acc:HGNC:7139]	3786	0.021708516404032707	0.07781972	No	
