NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MRPS30	mitochondrial ribosomal protein S30 [Source:HGNC Symbol;Acc:HGNC:8769]	80	0.20344704389572144	0.02563997	Yes	
row_1	HTRA2	HtrA serine peptidase 2 [Source:HGNC Symbol;Acc:HGNC:14348]	135	0.16480757296085358	0.046927158	Yes	
row_2	COX7A2L	cytochrome c oxidase subunit 7A2 like [Source:HGNC Symbol;Acc:HGNC:2289]	203	0.13614417612552643	0.06344106	Yes	
row_3	IDH1	isocitrate dehydrogenase (NADP(+)) 1 [Source:HGNC Symbol;Acc:HGNC:5382]	255	0.1220887154340744	0.078684516	Yes	
row_4	RHOT1	ras homolog family member T1 [Source:HGNC Symbol;Acc:HGNC:21168]	322	0.106930211186409	0.09101501	Yes	
row_5	NDUFA5	NADH:ubiquinone oxidoreductase subunit A5 [Source:HGNC Symbol;Acc:HGNC:7688]	371	0.09956452250480652	0.103139654	Yes	
row_6	TOMM70	translocase of outer mitochondrial membrane 70 [Source:HGNC Symbol;Acc:HGNC:11985]	412	0.09361890703439713	0.1147858	Yes	
row_7	OGDH	oxoglutarate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:8124]	448	0.08998657017946243	0.126145	Yes	
row_8	CASP7	caspase 7 [Source:HGNC Symbol;Acc:HGNC:1508]	480	0.08733496069908142	0.13731149	Yes	
row_9	PHYH	phytanoyl-CoA 2-hydroxylase [Source:HGNC Symbol;Acc:HGNC:8940]	530	0.08233558386564255	0.14689292	Yes	
row_10	LRPPRC	leucine rich pentatricopeptide repeat containing [Source:HGNC Symbol;Acc:HGNC:15714]	609	0.07595691829919815	0.1541634	Yes	
row_11	OXA1L	OXA1L mitochondrial inner membrane protein [Source:HGNC Symbol;Acc:HGNC:8526]	637	0.07415477931499481	0.16361225	Yes	
row_12	HSPA9	heat shock protein family A (Hsp70) member 9 [Source:HGNC Symbol;Acc:HGNC:5244]	752	0.06880580633878708	0.16812508	Yes	
row_13	GPX4	glutathione peroxidase 4 [Source:HGNC Symbol;Acc:HGNC:4556]	825	0.06559780240058899	0.17418218	Yes	
row_14	CS	citrate synthase [Source:HGNC Symbol;Acc:HGNC:2422]	837	0.06523261964321136	0.18310407	Yes	
row_15	ATP5F1C	ATP synthase F1 subunit gamma [Source:HGNC Symbol;Acc:HGNC:833]	864	0.06454145163297653	0.19120838	Yes	
row_16	OPA1	OPA1 mitochondrial dynamin like GTPase [Source:HGNC Symbol;Acc:HGNC:8140]	879	0.06389115005731583	0.19979249	Yes	
row_17	MGST3	microsomal glutathione S-transferase 3 [Source:HGNC Symbol;Acc:HGNC:7064]	923	0.06227035075426102	0.20675474	Yes	
row_18	MDH1	malate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:6970]	939	0.061765510588884354	0.21498314	Yes	
row_19	GPI	glucose-6-phosphate isomerase [Source:HGNC Symbol;Acc:HGNC:4458]	1019	0.059221044182777405	0.21978183	Yes	
row_20	ISCU	iron-sulfur cluster assembly enzyme [Source:HGNC Symbol;Acc:HGNC:29882]	1052	0.058286018669605255	0.22669315	Yes	
row_21	COX10	cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10 [Source:HGNC Symbol;Acc:HGNC:2260]	1085	0.05722157284617424	0.23345031	Yes	
row_22	ATP6V0E1	ATPase H+ transporting V0 subunit e1 [Source:HGNC Symbol;Acc:HGNC:863]	1098	0.056715428829193115	0.24109077	Yes	
row_23	SLC25A3	solute carrier family 25 member 3 [Source:HGNC Symbol;Acc:HGNC:10989]	1107	0.05642537400126457	0.24888055	Yes	
row_24	ACO2	aconitase 2 [Source:HGNC Symbol;Acc:HGNC:118]	1121	0.056162770837545395	0.25639313	Yes	
row_25	IMMT	inner membrane mitochondrial protein [Source:HGNC Symbol;Acc:HGNC:6047]	1145	0.05535375326871872	0.26331022	Yes	
row_26	ATP6AP1	ATPase H+ transporting accessory protein 1 [Source:HGNC Symbol;Acc:HGNC:868]	1188	0.054286036640405655	0.2691639	Yes	
row_27	VDAC2	voltage dependent anion channel 2 [Source:HGNC Symbol;Acc:HGNC:12672]	1200	0.054109472781419754	0.27647474	Yes	
row_28	ACADSB	acyl-CoA dehydrogenase short/branched chain [Source:HGNC Symbol;Acc:HGNC:91]	1218	0.05368077754974365	0.28343654	Yes	
row_29	COX11	cytochrome c oxidase copper chaperone COX11 [Source:HGNC Symbol;Acc:HGNC:2261]	1221	0.05363631993532181	0.29110935	Yes	
row_30	DECR1	2,4-dienoyl-CoA reductase 1 [Source:HGNC Symbol;Acc:HGNC:2753]	1280	0.05201976001262665	0.29586947	Yes	
row_31	NDUFC1	NADH:ubiquinone oxidoreductase subunit C1 [Source:HGNC Symbol;Acc:HGNC:7705]	1293	0.051734618842601776	0.30278856	Yes	
row_32	MDH2	malate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:6971]	1377	0.05014898255467415	0.30608195	Yes	
row_33	GLUD1	glutamate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:4335]	1479	0.04827991500496864	0.3082437	Yes	
row_34	MRPS12	mitochondrial ribosomal protein S12 [Source:HGNC Symbol;Acc:HGNC:10380]	1495	0.047834742814302444	0.31445444	Yes	
row_35	MRPL35	mitochondrial ribosomal protein L35 [Source:HGNC Symbol;Acc:HGNC:14489]	1538	0.04697822034358978	0.31924966	Yes	
row_36	ATP6V1H	ATPase H+ transporting V1 subunit H [Source:HGNC Symbol;Acc:HGNC:18303]	1564	0.0464361198246479	0.3247795	Yes	
row_37	SDHC	succinate dehydrogenase complex subunit C [Source:HGNC Symbol;Acc:HGNC:10682]	1581	0.046062618494033813	0.33068573	Yes	
row_38	HADHB	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta [Source:HGNC Symbol;Acc:HGNC:4803]	1586	0.045991383492946625	0.3371556	Yes	
row_39	LDHB	lactate dehydrogenase B [Source:HGNC Symbol;Acc:HGNC:6541]	1618	0.04557982459664345	0.34227446	Yes	
row_40	UQCRC1	ubiquinol-cytochrome c reductase core protein 1 [Source:HGNC Symbol;Acc:HGNC:12585]	1654	0.04476878419518471	0.34708452	Yes	
row_41	MFN2	mitofusin 2 [Source:HGNC Symbol;Acc:HGNC:16877]	1751	0.04298291355371475	0.34871823	Yes	
row_42	SDHA	succinate dehydrogenase complex flavoprotein subunit A [Source:HGNC Symbol;Acc:HGNC:10680]	1753	0.042946550995111465	0.35489058	Yes	
row_43	DLD	dihydrolipoamide dehydrogenase [Source:HGNC Symbol;Acc:HGNC:2898]	1781	0.04229582101106644	0.35972512	Yes	
row_44	ATP6V1G1	ATPase H+ transporting V1 subunit G1 [Source:HGNC Symbol;Acc:HGNC:864]	1797	0.042027220129966736	0.3650947	Yes	
row_45	SLC25A6	solute carrier family 25 member 6 [Source:HGNC Symbol;Acc:HGNC:10992]	1863	0.040965087711811066	0.3679189	Yes	
row_46	AFG3L2	AFG3 like matrix AAA peptidase subunit 2 [Source:HGNC Symbol;Acc:HGNC:315]	1865	0.0409465990960598	0.37380162	Yes	
row_47	IDH2	isocitrate dehydrogenase (NADP(+)) 2 [Source:HGNC Symbol;Acc:HGNC:5383]	1874	0.0408402644097805	0.3793341	Yes	
row_48	DLST	dihydrolipoamide S-succinyltransferase [Source:HGNC Symbol;Acc:HGNC:2911]	1879	0.04079877957701683	0.3850519	Yes	
row_49	COX7B	cytochrome c oxidase subunit 7B [Source:HGNC Symbol;Acc:HGNC:2291]	1882	0.040695786476135254	0.39085045	Yes	
row_50	HCCS	holocytochrome c synthase [Source:HGNC Symbol;Acc:HGNC:4837]	1908	0.04032200574874878	0.39549476	Yes	
row_51	NDUFA8	NADH:ubiquinone oxidoreductase subunit A8 [Source:HGNC Symbol;Acc:HGNC:7692]	1941	0.03982308506965637	0.399732	Yes	
row_52	VDAC3	voltage dependent anion channel 3 [Source:HGNC Symbol;Acc:HGNC:12674]	2010	0.03879997134208679	0.4020991	Yes	
row_53	COX6B1	cytochrome c oxidase subunit 6B1 [Source:HGNC Symbol;Acc:HGNC:2280]	2048	0.038319170475006104	0.40587938	Yes	
row_54	COX6C	cytochrome c oxidase subunit 6C [Source:HGNC Symbol;Acc:HGNC:2285]	2071	0.03808342665433884	0.41034293	Yes	
row_55	NDUFS1	NADH:ubiquinone oxidoreductase core subunit S1 [Source:HGNC Symbol;Acc:HGNC:7707]	2079	0.03799412399530411	0.41551104	Yes	
row_56	CYC1	cytochrome c1 [Source:HGNC Symbol;Acc:HGNC:2579]	2109	0.03760432079434395	0.4195704	Yes	
row_57	MRPS15	mitochondrial ribosomal protein S15 [Source:HGNC Symbol;Acc:HGNC:14504]	2131	0.03738342598080635	0.4239804	Yes	
row_58	COX4I1	cytochrome c oxidase subunit 4I1 [Source:HGNC Symbol;Acc:HGNC:2265]	2304	0.0353468619287014	0.420873	Yes	
row_59	MTX2	metaxin 2 [Source:HGNC Symbol;Acc:HGNC:7506]	2330	0.03504491597414017	0.42475298	Yes	
row_60	SURF1	SURF1 cytochrome c oxidase assembly factor [Source:HGNC Symbol;Acc:HGNC:11474]	2389	0.034356024116277695	0.42695478	Yes	
row_61	NDUFAB1	NADH:ubiquinone oxidoreductase subunit AB1 [Source:HGNC Symbol;Acc:HGNC:7694]	2392	0.034314047545194626	0.43182904	Yes	
row_62	COX5B	cytochrome c oxidase subunit 5B [Source:HGNC Symbol;Acc:HGNC:2269]	2396	0.03424880653619766	0.43664598	Yes	
row_63	POR	cytochrome p450 oxidoreductase [Source:HGNC Symbol;Acc:HGNC:9208]	2406	0.03412443399429321	0.44115797	Yes	
row_64	UQCRQ	ubiquinol-cytochrome c reductase complex III subunit VII [Source:HGNC Symbol;Acc:HGNC:29594]	2408	0.034094955772161484	0.4460483	Yes	
row_65	MTRR	5-methyltetrahydrofolate-homocysteine methyltransferase reductase [Source:HGNC Symbol;Acc:HGNC:7473]	2565	0.032353710383176804	0.44327268	Yes	
row_66	MRPL15	mitochondrial ribosomal protein L15 [Source:HGNC Symbol;Acc:HGNC:14054]	2571	0.032260555773973465	0.447706	Yes	
row_67	NDUFB3	NADH:ubiquinone oxidoreductase subunit B3 [Source:HGNC Symbol;Acc:HGNC:7698]	2577	0.032226674258708954	0.45213443	Yes	
row_68	ATP5F1B	ATP synthase F1 subunit beta [Source:HGNC Symbol;Acc:HGNC:830]	2587	0.032132338732481	0.45635787	Yes	
row_69	ATP6V1C1	ATPase H+ transporting V1 subunit C1 [Source:HGNC Symbol;Acc:HGNC:856]	2595	0.03205275163054466	0.46066543	Yes	
row_70	MRPS22	mitochondrial ribosomal protein S22 [Source:HGNC Symbol;Acc:HGNC:14508]	2612	0.03184155747294426	0.46451193	Yes	
row_71	NDUFA9	NADH:ubiquinone oxidoreductase subunit A9 [Source:HGNC Symbol;Acc:HGNC:7693]	2792	0.03007536008954048	0.4603062	Yes	
row_72	AIFM1	apoptosis inducing factor mitochondria associated 1 [Source:HGNC Symbol;Acc:HGNC:8768]	2892	0.0291936993598938	0.45979926	Yes	
row_73	SLC25A11	solute carrier family 25 member 11 [Source:HGNC Symbol;Acc:HGNC:10981]	2921	0.028923487290740013	0.46264914	Yes	
row_74	ATP5F1A	ATP synthase F1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:823]	2960	0.028607329353690147	0.46497494	Yes	
row_75	NDUFS7	NADH:ubiquinone oxidoreductase core subunit S7 [Source:HGNC Symbol;Acc:HGNC:7714]	2991	0.028309106826782227	0.4676402	Yes	
row_76	ATP6V1E1	ATPase H+ transporting V1 subunit E1 [Source:HGNC Symbol;Acc:HGNC:857]	3059	0.027738818898797035	0.4684531	Yes	
