NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCP110	centriolar coiled-coil protein 110 [Source:HGNC Symbol;Acc:HGNC:24342]	28	0.32249322533607483	0.044779215	No	
row_1	FOXO3	forkhead box O3 [Source:HGNC Symbol;Acc:HGNC:3821]	570	0.07868019491434097	0.030158121	No	
row_2	RAB40C	RAB40C, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:18285]	657	0.072711281478405	0.036443364	No	
row_3	MXD1	MAX dimerization protein 1 [Source:HGNC Symbol;Acc:HGNC:6761]	785	0.06724854558706284	0.039986625	No	
row_4	NOL8	nucleolar protein 8 [Source:HGNC Symbol;Acc:HGNC:23387]	856	0.0647810697555542	0.04590299	No	
row_5	CTSD	cathepsin D [Source:HGNC Symbol;Acc:HGNC:2529]	902	0.06301812082529068	0.05276284	No	
row_6	MKNK2	MAPK interacting serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:7111]	936	0.061903733760118484	0.060037218	No	
row_7	CSRNP2	cysteine and serine rich nuclear protein 2 [Source:HGNC Symbol;Acc:HGNC:16006]	972	0.06050356477499008	0.067015715	No	
row_8	ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B [Source:HGNC Symbol;Acc:HGNC:20154]	1028	0.0589701309800148	0.07281845	No	
row_9	ISCU	iron-sulfur cluster assembly enzyme [Source:HGNC Symbol;Acc:HGNC:29882]	1052	0.058286018669605255	0.08005371	No	
row_10	ABCC5	ATP binding cassette subfamily C member 5 [Source:HGNC Symbol;Acc:HGNC:56]	1172	0.05466746166348457	0.0821804	No	
row_11	RCHY1	ring finger and CHY zinc finger domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17479]	1234	0.05332748964428902	0.08688926	No	
row_12	PERP	p53 apoptosis effector related to PMP22 [Source:HGNC Symbol;Acc:HGNC:17637]	1268	0.05227404832839966	0.092786536	No	
row_13	SERTAD3	SERTA domain containing 3 [Source:HGNC Symbol;Acc:HGNC:17931]	1515	0.04737139493227005	0.0877962	No	
row_14	LDHB	lactate dehydrogenase B [Source:HGNC Symbol;Acc:HGNC:6541]	1618	0.04557982459664345	0.089436315	No	
row_15	FAM162A	family with sequence similarity 162 member A [Source:HGNC Symbol;Acc:HGNC:17865]	1744	0.04310606047511101	0.08962271	No	
