NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FOXO1	forkhead box O1 [Source:HGNC Symbol;Acc:HGNC:3819]	176	0.14555272459983826	0.25093052	Yes	
row_1	SRP9	signal recognition particle 9 [Source:HGNC Symbol;Acc:HGNC:11304]	866	0.06445400416851044	0.33306035	Yes	
row_2	STXBP1	syntaxin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11444]	1167	0.05478985980153084	0.4164285	Yes	
row_3	SPCS1	signal peptidase complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:23401]	2539	0.0326463021337986	0.40954491	No	
row_4	MAFB	MAF bZIP transcription factor B [Source:HGNC Symbol;Acc:HGNC:6408]	3996	0.02010800875723362	0.376294	No	
row_5	NKX2-2	NK2 homeobox 2 [Source:HGNC Symbol;Acc:HGNC:7835]	7221	0.0029914891347289085	0.2286817	No	
row_6	SRPRB	SRP receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:24085]	7606	0.0018822887213900685	0.21381839	No	
row_7	HNF1A	HNF1 homeobox A [Source:HGNC Symbol;Acc:HGNC:11621]	9168	-3.760095205507241E-5	0.13983414	No	
row_8	GCG	glucagon [Source:HGNC Symbol;Acc:HGNC:4191]	9431	-1.6194599447771907E-4	0.12769377	No	
row_9	NKX6-1	NK6 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7839]	9439	-1.6457054880447686E-4	0.12765487	No	
row_10	PCSK2	proprotein convertase subtilisin/kexin type 2 [Source:HGNC Symbol;Acc:HGNC:8744]	10058	-4.375209391582757E-4	0.099117346	No	
row_11	PKLR	pyruvate kinase L/R [Source:HGNC Symbol;Acc:HGNC:9020]	12458	-0.0026130983605980873	-0.010032378	No	
row_12	GCK	glucokinase [Source:HGNC Symbol;Acc:HGNC:4195]	13683	-0.004521312192082405	-0.060042877	No	
row_13	ABCC8	ATP binding cassette subfamily C member 8 [Source:HGNC Symbol;Acc:HGNC:59]	13707	-0.004575049504637718	-0.052984215	No	
row_14	PCSK1	proprotein convertase subtilisin/kexin type 1 [Source:HGNC Symbol;Acc:HGNC:8743]	13845	-0.004792341031134129	-0.05094645	No	
row_15	AKT3	AKT serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:393]	14204	-0.005542450118809938	-0.05805636	No	
row_16	SYT13	synaptotagmin 13 [Source:HGNC Symbol;Acc:HGNC:14962]	14881	-0.007259235717356205	-0.07719346	No	
row_17	DPP4	dipeptidyl peptidase 4 [Source:HGNC Symbol;Acc:HGNC:3009]	15368	-0.00851848628371954	-0.08507413	No	
row_18	SRP14	signal recognition particle 14 [Source:HGNC Symbol;Acc:HGNC:11299]	16343	-0.011754672974348068	-0.110339925	No	
row_19	PAK3	p21 (RAC1) activated kinase 3 [Source:HGNC Symbol;Acc:HGNC:8592]	16916	-0.014011532999575138	-0.11251528	No	
row_20	PAX6	paired box 6 [Source:HGNC Symbol;Acc:HGNC:8620]	17597	-0.01718228869140148	-0.11416575	No	
row_21	ELP4	elongator acetyltransferase complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:1171]	18566	-0.023536812514066696	-0.11815886	No	
row_22	SEC11A	SEC11 homolog A, signal peptidase complex subunit [Source:HGNC Symbol;Acc:HGNC:17718]	18996	-0.027100862935185432	-0.09023391	No	
row_23	CHGA	chromogranin A [Source:HGNC Symbol;Acc:HGNC:1929]	19267	-0.02971981279551983	-0.050101012	No	
row_24	LMO2	LIM domain only 2 [Source:HGNC Symbol;Acc:HGNC:6642]	19270	-0.02974807284772396	0.0027957028	No	
row_25	VDR	vitamin D receptor [Source:HGNC Symbol;Acc:HGNC:12679]	20316	-0.04727115482091904	0.0374289	No	
