NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OCRL	OCRL inositol polyphosphate-5-phosphatase [Source:HGNC Symbol;Acc:HGNC:8108]	110	0.17922067642211914	0.03461653	Yes	
row_1	TMED2	transmembrane p24 trafficking protein 2 [Source:HGNC Symbol;Acc:HGNC:16996]	116	0.17574772238731384	0.07345795	Yes	
row_2	RER1	retention in endoplasmic reticulum sorting receptor 1 [Source:HGNC Symbol;Acc:HGNC:30309]	140	0.1600666344165802	0.107955866	Yes	
row_3	STX16	syntaxin 16 [Source:HGNC Symbol;Acc:HGNC:11431]	236	0.1272045075893402	0.13171992	Yes	
row_4	GOLGA4	golgin A4 [Source:HGNC Symbol;Acc:HGNC:4427]	273	0.11446630209684372	0.15545942	Yes	
row_5	ARFGEF1	ADP ribosylation factor guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:15772]	280	0.11370723694562912	0.18045789	Yes	
row_6	SCAMP1	secretory carrier membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:10563]	302	0.10974384099245071	0.20386118	Yes	
row_7	STX7	syntaxin 7 [Source:HGNC Symbol;Acc:HGNC:11442]	347	0.10267701745033264	0.22459845	Yes	
row_8	AP2B1	adaptor related protein complex 2 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:563]	354	0.10197701305150986	0.24698858	Yes	
row_9	NAPG	NSF attachment protein gamma [Source:HGNC Symbol;Acc:HGNC:7642]	408	0.09424667805433273	0.26542297	Yes	
row_10	VPS45	vacuolar protein sorting 45 homolog [Source:HGNC Symbol;Acc:HGNC:14579]	437	0.0912947803735733	0.28439078	Yes	
row_11	GLA	galactosidase alpha [Source:HGNC Symbol;Acc:HGNC:4296]	542	0.08126280456781387	0.29751086	Yes	
row_12	LAMP2	lysosomal associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6501]	680	0.07170530408620834	0.30693522	Yes	
row_13	RAB14	RAB14, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:16524]	722	0.07002779841423035	0.3205554	Yes	
row_14	COPB2	COPI coat complex subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:2232]	748	0.06886981427669525	0.33467954	Yes	
row_15	CLCN3	chloride voltage-gated channel 3 [Source:HGNC Symbol;Acc:HGNC:2021]	873	0.06421417742967606	0.34305686	Yes	
row_16	ARF1	ADP ribosylation factor 1 [Source:HGNC Symbol;Acc:HGNC:652]	904	0.06301675736904144	0.35564154	Yes	
row_17	GOSR2	golgi SNAP receptor complex member 2 [Source:HGNC Symbol;Acc:HGNC:4431]	918	0.062408700585365295	0.3689001	Yes	
