NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XIAP	X-linked inhibitor of apoptosis [Source:HGNC Symbol;Acc:HGNC:592]	192	0.14021922647953033	0.044920787	No	
row_1	TRIM33	tripartite motif containing 33 [Source:HGNC Symbol;Acc:HGNC:16290]	438	0.0912710651755333	0.068459176	No	
row_2	HDAC1	histone deacetylase 1 [Source:HGNC Symbol;Acc:HGNC:4852]	862	0.06457933783531189	0.07325522	No	
row_3	FNTA	farnesyltransferase, CAAX box, alpha [Source:HGNC Symbol;Acc:HGNC:3782]	1314	0.05125705525279045	0.07158675	No	
row_4	BMPR2	bone morphogenetic protein receptor type 2 [Source:HGNC Symbol;Acc:HGNC:1078]	1601	0.04581692814826965	0.07565937	No	
row_5	CTNNB1	catenin beta 1 [Source:HGNC Symbol;Acc:HGNC:2514]	1733	0.043233588337898254	0.08609909	No	
row_6	ARID4B	AT-rich interaction domain 4B [Source:HGNC Symbol;Acc:HGNC:15550]	2014	0.03878134861588478	0.08774518	No	
row_7	UBE2D3	ubiquitin conjugating enzyme E2 D3 [Source:HGNC Symbol;Acc:HGNC:12476]	2065	0.03812539577484131	0.10006379	No	
row_8	MAP3K7	mitogen-activated protein kinase kinase kinase 7 [Source:HGNC Symbol;Acc:HGNC:6859]	2170	0.03699337691068649	0.10938104	No	
row_9	CDK9	cyclin dependent kinase 9 [Source:HGNC Symbol;Acc:HGNC:1780]	2920	0.028931329026818275	0.08495273	No	
row_10	SKIL	SKI like proto-oncogene [Source:HGNC Symbol;Acc:HGNC:10897]	3322	0.025509195402264595	0.07573601	No	
row_11	APC	APC regulator of WNT signaling pathway [Source:HGNC Symbol;Acc:HGNC:583]	4563	0.016326339915394783	0.023126477	No	
row_12	RHOA	ras homolog family member A [Source:HGNC Symbol;Acc:HGNC:667]	4673	0.0155723812058568	0.023950482	No	
row_13	TGFBR1	transforming growth factor beta receptor 1 [Source:HGNC Symbol;Acc:HGNC:11772]	4847	0.01450518798083067	0.021323094	No	
row_14	NCOR2	nuclear receptor corepressor 2 [Source:HGNC Symbol;Acc:HGNC:7673]	4872	0.014371140860021114	0.025721757	No	
row_15	TGFB1	transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]	5430	0.011089526116847992	0.0035374125	No	
row_16	PPP1R15A	protein phosphatase 1 regulatory subunit 15A [Source:HGNC Symbol;Acc:HGNC:14375]	5856	0.008721916005015373	-0.013289231	No	
row_17	SMURF1	SMAD specific E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:16807]	5923	0.00836220383644104	-0.0132014975	No	
row_18	KLF10	KLF transcription factor 10 [Source:HGNC Symbol;Acc:HGNC:11810]	6230	0.006798495538532734	-0.025116766	No	
row_19	SPTBN1	spectrin beta, non-erythrocytic 1 [Source:HGNC Symbol;Acc:HGNC:11275]	7053	0.003526638261973858	-0.06280375	No	
row_20	CDKN1C	cyclin dependent kinase inhibitor 1C [Source:HGNC Symbol;Acc:HGNC:1786]	7604	0.0018854220397770405	-0.08820289	No	
row_21	JUNB	JunB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6205]	9703	-2.8019724413752556E-4	-0.18775289	No	
row_22	LEFTY2	left-right determination factor 2 [Source:HGNC Symbol;Acc:HGNC:3122]	9963	-3.870840009767562E-4	-0.19990657	No	
row_23	SMAD7	SMAD family member 7 [Source:HGNC Symbol;Acc:HGNC:6773]	12357	-0.002478931797668338	-0.3126221	No	
row_24	SKI	SKI proto-oncogene [Source:HGNC Symbol;Acc:HGNC:10896]	14173	-0.005479793064296246	-0.39672524	No	
row_25	BMP2	bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]	16730	-0.013266000896692276	-0.5130261	No	
row_26	SLC20A1	solute carrier family 20 member 1 [Source:HGNC Symbol;Acc:HGNC:10946]	17000	-0.014407494105398655	-0.5202513	No	
row_27	LTBP2	latent transforming growth factor beta binding protein 2 [Source:HGNC Symbol;Acc:HGNC:6715]	17139	-0.014979462139308453	-0.52103335	No	
row_28	NOG	noggin [Source:HGNC Symbol;Acc:HGNC:7866]	17301	-0.01572170853614807	-0.52262187	No	
