NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	214	0.13192008435726166	0.006458323	No	
row_1	EIF1	eukaryotic translation initiation factor 1 [Source:HGNC Symbol;Acc:HGNC:3249]	411	0.09387441724538803	0.008963426	No	
row_2	BHLHE40	basic helix-loop-helix family member e40 [Source:HGNC Symbol;Acc:HGNC:1046]	565	0.07901923358440399	0.011645201	No	
row_3	MXD1	MAX dimerization protein 1 [Source:HGNC Symbol;Acc:HGNC:6761]	785	0.06724854558706284	0.009681367	No	
row_4	IL6ST	interleukin 6 cytokine family signal transducer [Source:HGNC Symbol;Acc:HGNC:6021]	1129	0.05599454790353775	3.6364546E-4	No	
row_5	MCL1	MCL1 apoptosis regulator, BCL2 family member [Source:HGNC Symbol;Acc:HGNC:6943]	1244	0.053097523748874664	0.0016305292	No	
row_6	SNN	stannin [Source:HGNC Symbol;Acc:HGNC:11149]	1367	0.05037471652030945	0.002170316	No	
row_7	CCNL1	cyclin L1 [Source:HGNC Symbol;Acc:HGNC:20569]	1571	0.04631636291742325	-0.0016769702	No	
row_8	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	1911	0.04025351256132126	-0.012795157	No	
row_9	IL1A	interleukin 1 alpha [Source:HGNC Symbol;Acc:HGNC:5991]	2089	0.0378008671104908	-0.016476566	No	
row_10	B4GALT1	beta-1,4-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:924]	2244	0.036008551716804504	-0.01928486	No	
row_11	BCL6	BCL6 transcription repressor [Source:HGNC Symbol;Acc:HGNC:1001]	2328	0.03506172448396683	-0.018817617	No	
row_12	EFNA1	ephrin A1 [Source:HGNC Symbol;Acc:HGNC:3221]	2352	0.03477780148386955	-0.015516995	No	
row_13	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	3062	0.027713460847735405	-0.045915943	No	
row_14	TRIP10	thyroid hormone receptor interactor 10 [Source:HGNC Symbol;Acc:HGNC:12304]	3078	0.027611326426267624	-0.04313954	No	
row_15	LITAF	lipopolysaccharide induced TNF factor [Source:HGNC Symbol;Acc:HGNC:16841]	3223	0.02636580541729927	-0.046689738	No	
row_16	KLF9	KLF transcription factor 9 [Source:HGNC Symbol;Acc:HGNC:1123]	3230	0.026305222883820534	-0.043648202	No	
row_17	BTG2	BTG anti-proliferation factor 2 [Source:HGNC Symbol;Acc:HGNC:1131]	3602	0.023131586611270905	-0.058463164	No	
row_18	ABCA1	ATP binding cassette subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:29]	3766	0.021846601739525795	-0.0634938	No	
row_19	IER2	immediate early response 2 [Source:HGNC Symbol;Acc:HGNC:28871]	3773	0.021799029782414436	-0.061022446	No	
row_20	TANK	TRAF family member associated NFKB activator [Source:HGNC Symbol;Acc:HGNC:11562]	3865	0.021037984639406204	-0.06271224	No	
row_21	REL	REL proto-oncogene, NF-kB subunit [Source:HGNC Symbol;Acc:HGNC:9954]	3950	0.020366517826914787	-0.06415223	No	
row_22	ZFP36	ZFP36 ring finger protein [Source:HGNC Symbol;Acc:HGNC:12862]	4026	0.019935250282287598	-0.06521641	No	
row_23	TRIB1	tribbles pseudokinase 1 [Source:HGNC Symbol;Acc:HGNC:16891]	4250	0.01831207051873207	-0.073563576	No	
row_24	RIGI	RNA sensor RIG-I [Source:HGNC Symbol;Acc:HGNC:19102]	4284	0.018102118745446205	-0.07285119	No	
row_25	CSF1	colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]	4536	0.016548456624150276	-0.08276053	No	
row_26	RNF19B	ring finger protein 19B [Source:HGNC Symbol;Acc:HGNC:26886]	4606	0.016040528193116188	-0.084030576	No	
row_27	ZBTB10	zinc finger and BTB domain containing 10 [Source:HGNC Symbol;Acc:HGNC:30953]	4663	0.01563611440360546	-0.08473012	No	
row_28	TNFAIP2	TNF alpha induced protein 2 [Source:HGNC Symbol;Acc:HGNC:11895]	4734	0.01520322822034359	-0.08615393	No	
row_29	TNFSF9	TNF superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:11939]	4802	0.014843066222965717	-0.08747986	No	
row_30	BCL3	BCL3 transcription coactivator [Source:HGNC Symbol;Acc:HGNC:998]	4841	0.014536676928400993	-0.087457724	No	
row_31	TAP1	transporter 1, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:43]	4901	0.014171483926475048	-0.08848605	No	
row_32	ATF3	activating transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:785]	4998	0.013602448627352715	-0.091355786	No	
row_33	KDM6B	lysine demethylase 6B [Source:HGNC Symbol;Acc:HGNC:29012]	5018	0.013516870327293873	-0.09055407	No	
row_34	TLR2	toll like receptor 2 [Source:HGNC Symbol;Acc:HGNC:11848]	5102	0.013004609383642673	-0.092877775	No	
row_35	IL23A	interleukin 23 subunit alpha [Source:HGNC Symbol;Acc:HGNC:15488]	5213	0.012329607270658016	-0.09657807	No	
row_36	CD80	CD80 molecule [Source:HGNC Symbol;Acc:HGNC:1700]	5349	0.011573866941034794	-0.10156953	No	
row_37	MAP3K8	mitogen-activated protein kinase kinase kinase 8 [Source:HGNC Symbol;Acc:HGNC:6860]	5359	0.011500534601509571	-0.100544736	No	
row_38	TNIP1	TNFAIP3 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:16903]	5453	0.010916967876255512	-0.103610806	No	
row_39	GCH1	GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193]	5492	0.010698305442929268	-0.104074344	No	
row_40	TNIP2	TNFAIP3 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:19118]	5585	0.010147004388272762	-0.10719002	No	
row_41	SDC4	syndecan 4 [Source:HGNC Symbol;Acc:HGNC:10661]	5685	0.009577804245054722	-0.11071247	No	
row_42	PPP1R15A	protein phosphatase 1 regulatory subunit 15A [Source:HGNC Symbol;Acc:HGNC:14375]	5856	0.008721916005015373	-0.11773855	No	
row_43	NFKB2	nuclear factor kappa B subunit 2 [Source:HGNC Symbol;Acc:HGNC:7795]	5992	0.008052699267864227	-0.12317556	No	
row_44	KLF4	KLF transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:6348]	6185	0.007002995349466801	-0.13147122	No	
row_45	KLF10	KLF transcription factor 10 [Source:HGNC Symbol;Acc:HGNC:11810]	6230	0.006798495538532734	-0.13271515	No	
row_46	SERPINB2	serpin family B member 2 [Source:HGNC Symbol;Acc:HGNC:8584]	6258	0.006655882578343153	-0.13316415	No	
row_47	IRS2	insulin receptor substrate 2 [Source:HGNC Symbol;Acc:HGNC:6126]	6473	0.00574070680886507	-0.14267161	No	
row_48	DRAM1	DNA damage regulated autophagy modulator 1 [Source:HGNC Symbol;Acc:HGNC:25645]	6674	0.004937421530485153	-0.15161121	No	
row_49	OLR1	oxidized low density lipoprotein receptor 1 [Source:HGNC Symbol;Acc:HGNC:8133]	6895	0.004127101507037878	-0.16160977	No	
row_50	EGR3	early growth response 3 [Source:HGNC Symbol;Acc:HGNC:3240]	7362	0.0025349343195557594	-0.18357395	No	
