NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	199	0.5080438	1.5623937	0.0014430014	0.082092226	0.134	4801	tags=60%, list=23%, signal=77%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	94	0.49519303	1.418925	0.025157232	0.20425461	0.513	2900	tags=44%, list=14%, signal=50%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	96	0.48723444	1.3857971	0.03652968	0.19173865	0.638	2911	tags=26%, list=14%, signal=30%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	182	0.45140028	1.385277	0.022058824	0.14436856	0.638	3752	tags=36%, list=18%, signal=44%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	111	0.4652926	1.344623	0.050432276	0.17425004	0.794	3696	tags=41%, list=18%, signal=50%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	198	0.41883644	1.2874925	0.054363377	0.2434206	0.931	2972	tags=25%, list=14%, signal=29%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	197	0.38695088	1.2010758	0.11240876	0.4050164	0.994	2594	tags=23%, list=12%, signal=26%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	99	0.41727176	1.1996682	0.15292354	0.35721225	0.994	3217	tags=27%, list=15%, signal=32%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	96	0.40541944	1.1386127	0.24585219	0.47336733	0.998	3640	tags=41%, list=17%, signal=49%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	193	0.36879784	1.131602	0.22922637	0.4444887	0.999	2932	tags=17%, list=14%, signal=19%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	192	0.33594146	1.0275406	0.39760837	0.69826996	1.0	3148	tags=31%, list=15%, signal=36%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	199	0.32062283	0.9944101	0.4643377	0.74093884	1.0	5152	tags=51%, list=24%, signal=67%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	102	0.34358722	0.9770788	0.49637157	0.73655564	1.0	3097	tags=27%, list=15%, signal=32%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	26	0.4164285	0.96955436	0.51311475	0.7052487	1.0	1167	tags=12%, list=6%, signal=12%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	95	0.34283164	0.9665688	0.51124436	0.6653094	1.0	3449	tags=22%, list=16%, signal=26%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	200	0.2805393	0.86252767	0.79073036	0.8901611	1.0	2875	tags=17%, list=14%, signal=19%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	198	0.26754954	0.8280799	0.8601695	0.91293275	1.0	2779	tags=17%, list=13%, signal=19%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	83	0.264812	0.74309295	0.91976225	0.9927632	1.0	3062	tags=17%, list=15%, signal=20%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	42	0.281178	0.712664	0.8965517	0.964944	1.0	4872	tags=36%, list=23%, signal=46%	
