NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NPC1	NPC intracellular cholesterol transporter 1 [Source:HGNC Symbol;Acc:HGNC:7897]	208	0.13395975530147552	0.039402205	Yes	
row_1	IDH1	isocitrate dehydrogenase (NADP(+)) 1 [Source:HGNC Symbol;Acc:HGNC:5382]	255	0.1220887154340744	0.08214701	Yes	
row_2	LONP2	lon peptidase 2, peroxisomal [Source:HGNC Symbol;Acc:HGNC:20598]	336	0.10483443737030029	0.11692289	Yes	
row_3	PEX11A	peroxisomal biogenesis factor 11 alpha [Source:HGNC Symbol;Acc:HGNC:8852]	414	0.0934964120388031	0.14766864	Yes	
row_4	PEX19	peroxisomal biogenesis factor 19 [Source:HGNC Symbol;Acc:HGNC:9713]	482	0.08714659512042999	0.1765534	Yes	
row_5	ACSL1	acyl-CoA synthetase long chain family member 1 [Source:HGNC Symbol;Acc:HGNC:3569]	485	0.08676134049892426	0.20839056	Yes	
row_6	PHYH	phytanoyl-CoA 2-hydroxylase [Source:HGNC Symbol;Acc:HGNC:8940]	530	0.08233558386564255	0.23659949	Yes	
row_7	GSTK1	glutathione S-transferase kappa 1 [Source:HGNC Symbol;Acc:HGNC:16906]	723	0.06995583325624466	0.25320682	Yes	
row_8	PEX6	peroxisomal biogenesis factor 6 [Source:HGNC Symbol;Acc:HGNC:8859]	735	0.06919867545366287	0.27815163	Yes	
row_9	PEX1	peroxisomal biogenesis factor 1 [Source:HGNC Symbol;Acc:HGNC:8850]	1144	0.05540227144956589	0.27912027	Yes	
row_10	SCP2	sterol carrier protein 2 [Source:HGNC Symbol;Acc:HGNC:10606]	1254	0.052744533866643906	0.29334405	Yes	
row_11	PFKM	phosphofructokinase, muscle [Source:HGNC Symbol;Acc:HGNC:8877]	1414	0.04939679428935051	0.30395555	Yes	
row_12	HSD3B7	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7 [Source:HGNC Symbol;Acc:HGNC:18324]	1430	0.049189984798431396	0.3213458	Yes	
row_13	PNPLA8	patatin like phospholipase domain containing 8 [Source:HGNC Symbol;Acc:HGNC:28900]	1577	0.04618468135595322	0.33139393	Yes	
row_14	ALDH9A1	aldehyde dehydrogenase 9 family member A1 [Source:HGNC Symbol;Acc:HGNC:412]	1613	0.045624833554029465	0.34651998	Yes	
row_15	GNPAT	glyceronephosphate O-acyltransferase [Source:HGNC Symbol;Acc:HGNC:4416]	1651	0.04482145980000496	0.3612551	Yes	
row_16	ABCD3	ATP binding cassette subfamily D member 3 [Source:HGNC Symbol;Acc:HGNC:67]	1719	0.04349110648036003	0.37407252	Yes	
row_17	IDH2	isocitrate dehydrogenase (NADP(+)) 2 [Source:HGNC Symbol;Acc:HGNC:5383]	1874	0.0408402644097805	0.38177282	Yes	
row_18	ATXN1	ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]	1893	0.04047529771924019	0.39581284	Yes	
row_19	SOD1	superoxide dismutase 1 [Source:HGNC Symbol;Acc:HGNC:11179]	2791	0.030076250433921814	0.3641823	Yes	
row_20	ISOC1	isochorismatase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24254]	2836	0.029681850224733353	0.37301213	Yes	
row_21	SLC35B2	solute carrier family 35 member B2 [Source:HGNC Symbol;Acc:HGNC:16872]	2850	0.029515165835618973	0.3832563	Yes	
row_22	PEX13	peroxisomal biogenesis factor 13 [Source:HGNC Symbol;Acc:HGNC:8855]	2913	0.02896055392920971	0.39096376	Yes	
row_23	MLYCD	malonyl-CoA decarboxylase [Source:HGNC Symbol;Acc:HGNC:7150]	3002	0.02827182225883007	0.39718008	Yes	
row_24	ABCA2	ATP binding cassette subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:32]	3010	0.028208864852786064	0.4072291	Yes	
row_25	EFHC1	EF-hand domain containing 1 [Source:HGNC Symbol;Acc:HGNC:16406]	3104	0.027396613731980324	0.41288528	Yes	
