NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDKN1B	cyclin dependent kinase inhibitor 1B [Source:HGNC Symbol;Acc:HGNC:1785]	60	0.2274937480688095	0.06852972	Yes	
row_1	ATF1	activating transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:783]	243	0.12562131881713867	0.099284	Yes	
row_2	PLA2G12A	phospholipase A2 group XIIA [Source:HGNC Symbol;Acc:HGNC:18554]	269	0.11638728529214859	0.13461545	Yes	
row_3	STAT2	signal transducer and activator of transcription 2 [Source:HGNC Symbol;Acc:HGNC:11363]	290	0.11208237707614899	0.1688341	Yes	
row_4	PRKAR2A	protein kinase cAMP-dependent type II regulatory subunit alpha [Source:HGNC Symbol;Acc:HGNC:9391]	538	0.08168007433414459	0.18270521	Yes	
row_5	HSP90B1	heat shock protein 90 beta family member 1 [Source:HGNC Symbol;Acc:HGNC:12028]	591	0.07705418765544891	0.20440868	Yes	
row_6	ARF1	ADP ribosylation factor 1 [Source:HGNC Symbol;Acc:HGNC:652]	904	0.06301675736904144	0.20932868	Yes	
row_7	MKNK2	MAPK interacting serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:7111]	936	0.061903733760118484	0.22727783	Yes	
row_8	GSK3B	glycogen synthase kinase 3 beta [Source:HGNC Symbol;Acc:HGNC:4617]	1531	0.0470876544713974	0.21377337	Yes	
row_9	CAB39	calcium binding protein 39 [Source:HGNC Symbol;Acc:HGNC:20292]	1758	0.042828261852264404	0.21645279	Yes	
row_10	MAPKAP1	MAPK associated protein 1 [Source:HGNC Symbol;Acc:HGNC:18752]	1796	0.04203673079609871	0.22788212	Yes	
row_11	PTEN	phosphatase and tensin homolog [Source:HGNC Symbol;Acc:HGNC:9588]	1851	0.04115686193108559	0.23822598	Yes	
row_12	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	1911	0.04025351256132126	0.24804834	Yes	
row_13	SMAD2	SMAD family member 2 [Source:HGNC Symbol;Acc:HGNC:6768]	1943	0.039787810295820236	0.2590576	Yes	
row_14	UBE2D3	ubiquitin conjugating enzyme E2 D3 [Source:HGNC Symbol;Acc:HGNC:12476]	2065	0.03812539577484131	0.26526037	Yes	
row_15	MAP3K7	mitogen-activated protein kinase kinase kinase 7 [Source:HGNC Symbol;Acc:HGNC:6859]	2170	0.03699337691068649	0.27191725	Yes	
row_16	SLC2A1	solute carrier family 2 member 1 [Source:HGNC Symbol;Acc:HGNC:11005]	2239	0.036033980548381805	0.27998704	Yes	
row_17	NCK1	NCK adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:7664]	2302	0.035359982401132584	0.288131	Yes	
row_18	YWHAB	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta [Source:HGNC Symbol;Acc:HGNC:12849]	2670	0.031030364334583282	0.2803953	Yes	
row_19	CALR	calreticulin [Source:HGNC Symbol;Acc:HGNC:1455]	2689	0.030944591388106346	0.28924856	Yes	
row_20	MKNK1	MAPK interacting serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:7110]	2698	0.030884509906172752	0.29855907	Yes	
row_21	RIPK1	receptor interacting serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:10019]	2794	0.0300702303647995	0.303472	Yes	
row_22	PIK3R3	phosphoinositide-3-kinase regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:8981]	2817	0.02990761399269104	0.31180942	Yes	
row_23	MAPK1	mitogen-activated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:6871]	2860	0.029440458863973618	0.31904808	Yes	
row_24	RPS6KA3	ribosomal protein S6 kinase A3 [Source:HGNC Symbol;Acc:HGNC:10432]	2900	0.02903987467288971	0.32630384	Yes	
row_25	MAPK9	mitogen-activated protein kinase 9 [Source:HGNC Symbol;Acc:HGNC:6886]	2928	0.028893770650029182	0.33408508	Yes	
row_26	PTPN11	protein tyrosine phosphatase non-receptor type 11 [Source:HGNC Symbol;Acc:HGNC:9644]	3013	0.028172016143798828	0.33892608	Yes	
row_27	PRKAA2	protein kinase AMP-activated catalytic subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:9377]	3097	0.02744722180068493	0.34358722	Yes	
row_28	EIF4E	eukaryotic translation initiation factor 4E [Source:HGNC Symbol;Acc:HGNC:3287]	3596	0.023181190714240074	0.3271516	No	
row_29	AP2M1	adaptor related protein complex 2 subunit mu 1 [Source:HGNC Symbol;Acc:HGNC:564]	3598	0.02315814234316349	0.33437088	No	
row_30	TSC2	TSC complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:12363]	4356	0.017622821033000946	0.30386007	No	
row_31	RPS6KA1	ribosomal protein S6 kinase A1 [Source:HGNC Symbol;Acc:HGNC:10430]	4538	0.01653590053319931	0.30043155	No	
row_32	PIN1	peptidylprolyl cis/trans isomerase, NIMA-interacting 1 [Source:HGNC Symbol;Acc:HGNC:8988]	4637	0.015802863985300064	0.30072463	No	
row_33	TNFRSF1A	TNF receptor superfamily member 1A [Source:HGNC Symbol;Acc:HGNC:11916]	4738	0.015173964202404022	0.30072513	No	
row_34	ECSIT	ECSIT signaling integrator [Source:HGNC Symbol;Acc:HGNC:29548]	4819	0.014692653901875019	0.3015268	No	
row_35	MYD88	MYD88 innate immune signal transduction adaptor [Source:HGNC Symbol;Acc:HGNC:7562]	5027	0.013446411117911339	0.29589096	No	
