NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCP110	centriolar coiled-coil protein 110 [Source:HGNC Symbol;Acc:HGNC:24342]	28	0.32249322533607483	0.058545362	Yes	
row_1	CDKN1B	cyclin dependent kinase inhibitor 1B [Source:HGNC Symbol;Acc:HGNC:1785]	60	0.2274937480688095	0.0993065	Yes	
row_2	NUDT21	nudix hydrolase 21 [Source:HGNC Symbol;Acc:HGNC:13870]	259	0.12114588171243668	0.11233146	Yes	
row_3	UBR7	ubiquitin protein ligase E3 component n-recognin 7 [Source:HGNC Symbol;Acc:HGNC:20344]	282	0.11346233636140823	0.13234827	Yes	
row_4	TMPO	thymopoietin [Source:HGNC Symbol;Acc:HGNC:11875]	375	0.09907209128141403	0.1463446	Yes	
row_5	HMGB3	high mobility group box 3 [Source:HGNC Symbol;Acc:HGNC:5004]	516	0.08362837880849838	0.15517716	Yes	
row_6	CNOT9	CCR4-NOT transcription complex subunit 9 [Source:HGNC Symbol;Acc:HGNC:10445]	527	0.08253604173660278	0.17002517	Yes	
row_7	XPO1	exportin 1 [Source:HGNC Symbol;Acc:HGNC:12825]	596	0.0767790675163269	0.18102984	Yes	
row_8	PPP1R8	protein phosphatase 1 regulatory subunit 8 [Source:HGNC Symbol;Acc:HGNC:9296]	665	0.07221882045269012	0.19118771	Yes	
row_9	ORC2	origin recognition complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:8488]	803	0.0663972869515419	0.19696407	Yes	
row_10	PAN2	poly(A) specific ribonuclease subunit PAN2 [Source:HGNC Symbol;Acc:HGNC:20074]	920	0.06232665479183197	0.20298904	Yes	
row_11	RAD21	RAD21 cohesin complex component [Source:HGNC Symbol;Acc:HGNC:9811]	1033	0.05872528254985809	0.2085366	Yes	
row_12	CBX5	chromobox 5 [Source:HGNC Symbol;Acc:HGNC:1555]	1103	0.05656038224697113	0.21573897	Yes	
row_13	RBBP7	RB binding protein 7, chromatin remodeling factor [Source:HGNC Symbol;Acc:HGNC:9890]	1140	0.055647362023591995	0.22435029	Yes	
row_14	PNN	pinin, desmosome associated protein [Source:HGNC Symbol;Acc:HGNC:9162]	1177	0.054553836584091187	0.23275855	Yes	
row_15	CTCF	CCCTC-binding factor [Source:HGNC Symbol;Acc:HGNC:13723]	1285	0.0518401674926281	0.23726675	Yes	
row_16	LUC7L3	LUC7 like 3 pre-mRNA splicing factor [Source:HGNC Symbol;Acc:HGNC:24309]	1461	0.048581160604953766	0.23791713	Yes	
row_17	SMC3	structural maintenance of chromosomes 3 [Source:HGNC Symbol;Acc:HGNC:2468]	1482	0.04820235073566437	0.24591129	Yes	
row_18	POLE	DNA polymerase epsilon, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9177]	1492	0.04792177304625511	0.2543795	Yes	
row_19	PRDX4	peroxiredoxin 4 [Source:HGNC Symbol;Acc:HGNC:17169]	1729	0.043300993740558624	0.2511316	Yes	
row_20	RANBP1	RAN binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9847]	1813	0.0416831448674202	0.2549017	Yes	
row_21	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	1911	0.04025351256132126	0.25773668	Yes	
row_22	CTPS1	CTP synthase 1 [Source:HGNC Symbol;Acc:HGNC:2519]	1913	0.04024413600564003	0.26516187	Yes	
row_23	NASP	nuclear autoantigenic sperm protein [Source:HGNC Symbol;Acc:HGNC:7644]	2084	0.03791751340031624	0.26407126	Yes	
row_24	DEK	DEK proto-oncogene [Source:HGNC Symbol;Acc:HGNC:2768]	2140	0.037292394787073135	0.26836535	Yes	
row_25	ANP32E	acidic nuclear phosphoprotein 32 family member E [Source:HGNC Symbol;Acc:HGNC:16673]	2152	0.03719257563352585	0.27474558	Yes	
row_26	WEE1	WEE1 G2 checkpoint kinase [Source:HGNC Symbol;Acc:HGNC:12761]	2481	0.03321143612265587	0.26522344	Yes	
row_27	RPA2	replication protein A2 [Source:HGNC Symbol;Acc:HGNC:10290]	2542	0.03263738751411438	0.268414	Yes	
row_28	UNG	uracil DNA glycosylase [Source:HGNC Symbol;Acc:HGNC:12572]	2738	0.030567174777388573	0.26476264	Yes	
row_29	KIF22	kinesin family member 22 [Source:HGNC Symbol;Acc:HGNC:6391]	2747	0.03049425780773163	0.27004254	Yes	
row_30	TP53	tumor protein p53 [Source:HGNC Symbol;Acc:HGNC:11998]	2810	0.029960326850414276	0.2726403	Yes	
row_31	SLBP	stem-loop binding protein [Source:HGNC Symbol;Acc:HGNC:10904]	2861	0.02943052537739277	0.27571368	Yes	
row_32	WDR90	WD repeat domain 90 [Source:HGNC Symbol;Acc:HGNC:26960]	2875	0.029335936531424522	0.2805393	Yes	
row_33	MLH1	mutL homolog 1 [Source:HGNC Symbol;Acc:HGNC:7127]	3024	0.028052685782313347	0.2786692	No	
row_34	PCNA	proliferating cell nuclear antigen [Source:HGNC Symbol;Acc:HGNC:8729]	3269	0.02595970220863819	0.27181843	No	
row_35	MCM3	minichromosome maintenance complex component 3 [Source:HGNC Symbol;Acc:HGNC:6945]	3277	0.0258753914386034	0.27628848	No	
row_36	H2AZ1	H2A.Z variant histone 1 [Source:HGNC Symbol;Acc:HGNC:4741]	3437	0.024532031267881393	0.27323842	No	
row_37	EIF2S1	eukaryotic translation initiation factor 2 subunit alpha [Source:HGNC Symbol;Acc:HGNC:3265]	3484	0.024069741368293762	0.2755077	No	
row_38	RAD50	RAD50 double strand break repair protein [Source:HGNC Symbol;Acc:HGNC:9816]	3682	0.022548357024788857	0.27027163	No	
row_39	PSIP1	PC4 and SRSF1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:9527]	3700	0.02244562841951847	0.27362645	No	
row_40	USP1	ubiquitin specific peptidase 1 [Source:HGNC Symbol;Acc:HGNC:12607]	3744	0.02198530174791813	0.27565214	No	
row_41	CDC25A	cell division cycle 25A [Source:HGNC Symbol;Acc:HGNC:1725]	3828	0.02135196328163147	0.2756469	No	
row_42	NOLC1	nucleolar and coiled-body phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:15608]	3852	0.021140143275260925	0.2784723	No	
row_43	DCK	deoxycytidine kinase [Source:HGNC Symbol;Acc:HGNC:2704]	3916	0.02067905105650425	0.27929875	No	
row_44	NUP153	nucleoporin 153 [Source:HGNC Symbol;Acc:HGNC:8062]	4073	0.01953701674938202	0.27546468	No	
row_45	RACGAP1	Rac GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:9804]	4243	0.01836986653506756	0.27079204	No	
row_46	KPNA2	karyopherin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6395]	4273	0.018169496208429337	0.2727788	No	
row_47	ILF3	interleukin enhancer binding factor 3 [Source:HGNC Symbol;Acc:HGNC:6038]	4434	0.01715811714529991	0.26831165	No	
row_48	MSH2	mutS homolog 2 [Source:HGNC Symbol;Acc:HGNC:7325]	4561	0.016355758532881737	0.26532182	No	
row_49	EXOSC8	exosome component 8 [Source:HGNC Symbol;Acc:HGNC:17035]	4601	0.016062401235103607	0.266439	No	
row_50	SYNCRIP	synaptotagmin binding cytoplasmic RNA interacting protein [Source:HGNC Symbol;Acc:HGNC:16918]	4614	0.015985731035470963	0.26883343	No	
row_51	POLD2	DNA polymerase delta 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:9176]	4624	0.015905436128377914	0.27135646	No	
row_52	XRCC6	X-ray repair cross complementing 6 [Source:HGNC Symbol;Acc:HGNC:4055]	4878	0.014338142238557339	0.26191717	No	
row_53	GSPT1	G1 to S phase transition 1 [Source:HGNC Symbol;Acc:HGNC:4621]	4943	0.014007164165377617	0.26145688	No	
row_54	HUS1	HUS1 checkpoint clamp component [Source:HGNC Symbol;Acc:HGNC:5309]	5040	0.013369525782763958	0.25934753	No	
row_55	MCM7	minichromosome maintenance complex component 7 [Source:HGNC Symbol;Acc:HGNC:6950]	5067	0.013235102407634258	0.26056153	No	
row_56	NAP1L1	nucleosome assembly protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:7637]	5101	0.013007398694753647	0.2613984	No	
