NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EIF2S3	eukaryotic translation initiation factor 2 subunit gamma [Source:HGNC Symbol;Acc:HGNC:3267]	249	0.1243748590350151	0.013942574	No	
row_1	SLC6A8	solute carrier family 6 member 8 [Source:HGNC Symbol;Acc:HGNC:11055]	581	0.07777119427919388	0.014294823	No	
row_2	HYAL2	hyaluronidase 2 [Source:HGNC Symbol;Acc:HGNC:5321]	703	0.07066839188337326	0.023194168	No	
row_3	GRINA	glutamate ionotropic receptor NMDA type subunit associated protein 1 [Source:HGNC Symbol;Acc:HGNC:4589]	801	0.06651269644498825	0.03237597	No	
row_4	ALDOA	aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]	1109	0.05640808120369911	0.029437654	No	
row_5	IL6ST	interleukin 6 cytokine family signal transducer [Source:HGNC Symbol;Acc:HGNC:6021]	1129	0.05599454790353775	0.040157862	No	
row_6	ENO2	enolase 2 [Source:HGNC Symbol;Acc:HGNC:3353]	1724	0.043433260172605515	0.020828726	No	
row_7	PPP1R2	protein phosphatase 1 regulatory inhibitor subunit 2 [Source:HGNC Symbol;Acc:HGNC:9288]	1747	0.043073736131191254	0.02872283	No	
row_8	CREG1	cellular repressor of E1A stimulated genes 1 [Source:HGNC Symbol;Acc:HGNC:2351]	1821	0.041521262377500534	0.033860665	No	
row_9	CYB5R1	cytochrome b5 reductase 1 [Source:HGNC Symbol;Acc:HGNC:13397]	1946	0.039770230650901794	0.036201008	No	
row_10	PARP2	poly(ADP-ribose) polymerase 2 [Source:HGNC Symbol;Acc:HGNC:272]	1951	0.03967229276895523	0.044247843	No	
row_11	SIGMAR1	sigma non-opioid intracellular receptor 1 [Source:HGNC Symbol;Acc:HGNC:8157]	1984	0.03917912766337395	0.050856017	No	
row_12	CNP	2',3'-cyclic nucleotide 3' phosphodiesterase [Source:HGNC Symbol;Acc:HGNC:2158]	2005	0.038852427154779434	0.057969034	No	
row_13	POLG2	DNA polymerase gamma 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:9180]	2075	0.038027189671993256	0.06257224	No	
row_14	STARD3	StAR related lipid transfer domain containing 3 [Source:HGNC Symbol;Acc:HGNC:17579]	2161	0.037132684141397476	0.06622613	No	
row_15	TMBIM6	transmembrane BAX inhibitor motif containing 6 [Source:HGNC Symbol;Acc:HGNC:11723]	2166	0.03702931851148605	0.073724166	No	
row_16	BCL2L11	BCL2 like 11 [Source:HGNC Symbol;Acc:HGNC:994]	2223	0.036248303949832916	0.078578405	No	
row_17	RPN1	ribophorin I [Source:HGNC Symbol;Acc:HGNC:10381]	2509	0.03286118060350418	0.07180063	No	
row_18	ATP6V1C1	ATPase H+ transporting V1 subunit C1 [Source:HGNC Symbol;Acc:HGNC:856]	2595	0.03205275163054466	0.074399695	No	
row_19	STK25	serine/threonine kinase 25 [Source:HGNC Symbol;Acc:HGNC:11404]	2750	0.030476009473204613	0.073378436	No	
row_20	CYB5B	cytochrome b5 type B [Source:HGNC Symbol;Acc:HGNC:24374]	2819	0.02989879995584488	0.076341555	No	
row_21	EIF5	eukaryotic translation initiation factor 5 [Source:HGNC Symbol;Acc:HGNC:3299]	2893	0.029176320880651474	0.078916036	No	
row_22	RXRB	retinoid X receptor beta [Source:HGNC Symbol;Acc:HGNC:10478]	2988	0.028370339423418045	0.080320954	No	
row_23	PRPF3	pre-mRNA processing factor 3 [Source:HGNC Symbol;Acc:HGNC:17348]	3051	0.027823444455862045	0.08313948	No	
row_24	TST	thiosulfate sulfurtransferase [Source:HGNC Symbol;Acc:HGNC:12388]	3147	0.02702862210571766	0.08421808	No	
row_25	BSG	basigin (Ok blood group) [Source:HGNC Symbol;Acc:HGNC:1116]	3292	0.025709252804517746	0.08268427	No	
row_26	WIZ	WIZ zinc finger [Source:HGNC Symbol;Acc:HGNC:30917]	3414	0.02477000281214714	0.082053065	No	
row_27	BTG2	BTG anti-proliferation factor 2 [Source:HGNC Symbol;Acc:HGNC:1131]	3602	0.023131586611270905	0.0779319	No	
row_28	MGAT1	alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:HGNC:7044]	3728	0.02214418165385723	0.07656457	No	
row_29	POLE3	DNA polymerase epsilon 3, accessory subunit [Source:HGNC Symbol;Acc:HGNC:13546]	3790	0.021662607789039612	0.078151554	No	
