NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IDH1	isocitrate dehydrogenase (NADP(+)) 1 [Source:HGNC Symbol;Acc:HGNC:5382]	255	0.1220887154340744	0.025374204	Yes	
row_1	LONP2	lon peptidase 2, peroxisomal [Source:HGNC Symbol;Acc:HGNC:20598]	336	0.10483443737030029	0.053776465	Yes	
row_2	PEX11A	peroxisomal biogenesis factor 11 alpha [Source:HGNC Symbol;Acc:HGNC:8852]	414	0.0934964120388031	0.07883795	Yes	
row_3	ACSL1	acyl-CoA synthetase long chain family member 1 [Source:HGNC Symbol;Acc:HGNC:3569]	485	0.08676134049892426	0.102163285	Yes	
row_4	CRAT	carnitine O-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:2342]	488	0.08639148622751236	0.12861153	Yes	
row_5	GSTK1	glutathione S-transferase kappa 1 [Source:HGNC Symbol;Acc:HGNC:16906]	723	0.06995583325624466	0.13896765	Yes	
row_6	SIAH1	siah E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:10857]	732	0.06929028779268265	0.15987603	Yes	
row_7	PEX6	peroxisomal biogenesis factor 6 [Source:HGNC Symbol;Acc:HGNC:8859]	735	0.06919867545366287	0.18104187	Yes	
row_8	PEX5	peroxisomal biogenesis factor 5 [Source:HGNC Symbol;Acc:HGNC:9719]	956	0.06108412519097328	0.18933852	Yes	
row_9	FIS1	fission, mitochondrial 1 [Source:HGNC Symbol;Acc:HGNC:21689]	1133	0.05589817464351654	0.19813606	Yes	
row_10	PABPC1	poly(A) binding protein cytoplasmic 1 [Source:HGNC Symbol;Acc:HGNC:8554]	1157	0.05497463420033455	0.21393208	Yes	
row_11	ABCC5	ATP binding cassette subfamily C member 5 [Source:HGNC Symbol;Acc:HGNC:56]	1172	0.05466746166348457	0.2300621	Yes	
row_12	SCP2	sterol carrier protein 2 [Source:HGNC Symbol;Acc:HGNC:10606]	1254	0.052744533866643906	0.24241234	Yes	
row_13	ACOT8	acyl-CoA thioesterase 8 [Source:HGNC Symbol;Acc:HGNC:15919]	1260	0.0526290200650692	0.2583444	Yes	
row_14	CLN8	CLN8 transmembrane ER and ERGIC protein [Source:HGNC Symbol;Acc:HGNC:2079]	1326	0.051091890782117844	0.27094844	Yes	
row_15	HSD3B7	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7 [Source:HGNC Symbol;Acc:HGNC:18324]	1430	0.049189984798431396	0.28115943	Yes	
row_16	ALDH9A1	aldehyde dehydrogenase 9 family member A1 [Source:HGNC Symbol;Acc:HGNC:412]	1613	0.045624833554029465	0.28651497	Yes	
row_17	GNPAT	glyceronephosphate O-acyltransferase [Source:HGNC Symbol;Acc:HGNC:4416]	1651	0.04482145980000496	0.2985251	Yes	
row_18	ABCD3	ATP binding cassette subfamily D member 3 [Source:HGNC Symbol;Acc:HGNC:67]	1719	0.04349110648036003	0.30869862	Yes	
row_19	IDH2	isocitrate dehydrogenase (NADP(+)) 2 [Source:HGNC Symbol;Acc:HGNC:5383]	1874	0.0408402644097805	0.3139168	Yes	
row_20	ATXN1	ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]	1893	0.04047529771924019	0.32549593	Yes	
row_21	PEX2	peroxisomal biogenesis factor 2 [Source:HGNC Symbol;Acc:HGNC:9717]	1900	0.0403936468064785	0.33762115	Yes	
row_22	CTPS1	CTP synthase 1 [Source:HGNC Symbol;Acc:HGNC:2519]	1913	0.04024413600564003	0.34941486	Yes	
row_23	VPS4B	vacuolar protein sorting 4 homolog B [Source:HGNC Symbol;Acc:HGNC:10895]	2069	0.03809581324458122	0.35374218	Yes	
row_24	ACOX1	acyl-CoA oxidase 1 [Source:HGNC Symbol;Acc:HGNC:119]	2308	0.035313770174980164	0.35326427	Yes	
row_25	SOD1	superoxide dismutase 1 [Source:HGNC Symbol;Acc:HGNC:11179]	2791	0.030076250433921814	0.33956364	Yes	
row_26	ISOC1	isochorismatase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24254]	2836	0.029681850224733353	0.34658903	Yes	
row_27	SLC35B2	solute carrier family 35 member B2 [Source:HGNC Symbol;Acc:HGNC:16872]	2850	0.029515165835618973	0.35503867	Yes	
row_28	SLC25A17	solute carrier family 25 member 17 [Source:HGNC Symbol;Acc:HGNC:10987]	2873	0.029338233172893524	0.3630056	Yes	
row_29	PEX13	peroxisomal biogenesis factor 13 [Source:HGNC Symbol;Acc:HGNC:8855]	2913	0.02896055392920971	0.3700474	Yes	
row_30	MLYCD	malonyl-CoA decarboxylase [Source:HGNC Symbol;Acc:HGNC:7150]	3002	0.02827182225883007	0.3745453	Yes	
row_31	CNBP	CCHC-type zinc finger nucleic acid binding protein [Source:HGNC Symbol;Acc:HGNC:13164]	3025	0.02804386243224144	0.38211456	Yes	
row_32	ERCC3	ERCC excision repair 3, TFIIH core complex helicase subunit [Source:HGNC Symbol;Acc:HGNC:3435]	3134	0.02712116576731205	0.385307	Yes	
