NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDKN1B	cyclin dependent kinase inhibitor 1B [Source:HGNC Symbol;Acc:HGNC:1785]	60	0.2274937480688095	0.037564665	No	
row_1	AGGF1	angiogenic factor with G-patch and FHA domains 1 [Source:HGNC Symbol;Acc:HGNC:24684]	279	0.11396744847297668	0.04741844	No	
row_2	BHLHE40	basic helix-loop-helix family member e40 [Source:HGNC Symbol;Acc:HGNC:1046]	565	0.07901923358440399	0.0478658	No	
row_3	YTHDC1	YTH domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30626]	575	0.07839445769786835	0.06136756	No	
row_4	MIOS	meiosis regulator for oocyte development [Source:HGNC Symbol;Acc:HGNC:21905]	633	0.07432663440704346	0.071856804	No	
row_5	ATRN	attractin [Source:HGNC Symbol;Acc:HGNC:885]	698	0.07087071985006332	0.08139802	No	
row_6	ZMIZ1	zinc finger MIZ-type containing 1 [Source:HGNC Symbol;Acc:HGNC:16493]	733	0.06922796368598938	0.09207833	No	
row_7	TOGARAM1	TOG array regulator of axonemal microtubules 1 [Source:HGNC Symbol;Acc:HGNC:19959]	763	0.06837184727191925	0.102845006	No	
row_8	NR3C1	nuclear receptor subfamily 3 group C member 1 [Source:HGNC Symbol;Acc:HGNC:7978]	1136	0.055854056030511856	0.09502583	No	
row_9	PRDM2	PR/SET domain 2 [Source:HGNC Symbol;Acc:HGNC:9347]	1156	0.054990917444229126	0.103891656	No	
row_10	ATP2B4	ATPase plasma membrane Ca2+ transporting 4 [Source:HGNC Symbol;Acc:HGNC:817]	1467	0.04844359681010246	0.09771306	No	
row_11	DYRK1A	dual specificity tyrosine phosphorylation regulated kinase 1A [Source:HGNC Symbol;Acc:HGNC:3091]	1578	0.046101223677396774	0.10065837	No	
row_12	ATP2C1	ATPase secretory pathway Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:13211]	1608	0.045724425464868546	0.1074005	No	
row_13	PTEN	phosphatase and tensin homolog [Source:HGNC Symbol;Acc:HGNC:9588]	1851	0.04115686193108559	0.10317067	No	
row_14	ERBB2	erb-b2 receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:3430]	1866	0.04094311594963074	0.10977864	No	
row_15	ATXN1	ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]	1893	0.04047529771924019	0.115731075	No	
row_16	ANXA4	annexin A4 [Source:HGNC Symbol;Acc:HGNC:542]	1898	0.04043585807085037	0.12272591	No	
row_17	PTPRM	protein tyrosine phosphatase receptor type M [Source:HGNC Symbol;Acc:HGNC:9675]	1909	0.040314678102731705	0.12941301	No	
row_18	VAV2	vav guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:12658]	2243	0.03601066395640373	0.119927905	No	
row_19	DLG1	discs large MAGUK scaffold protein 1 [Source:HGNC Symbol;Acc:HGNC:2900]	2634	0.03149066120386124	0.10692062	No	
row_20	TENT4A	terminal nucleotidyltransferase 4A [Source:HGNC Symbol;Acc:HGNC:16705]	2779	0.030176810920238495	0.105414264	No	
row_21	PIK3R3	phosphoinositide-3-kinase regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:8981]	2817	0.02990761399269104	0.10896406	No	
